0,Class A
Ciprofloxacin (Site 6),Quinolone
Hydroxy-norfloxacin  (Site 9),Quinolone
Sulfamethoxazole (Site 6),Sulfonamide
N-acetyl sulfapyridine  (Site 6),Sulfonamide
N-desmethyl clarithromycin  (Site 2),Macrolide
5-Hydroxy-pyrazinoic acid  (Site 7),Pyrazinamide
Kanamycin A (Site 4),Aminoglycoside
Desmethyl-ofloxacin  (Site 8),Quinolone
Desethylene ciprofloxacin (Site 7),Quinolone
Penicilloic G acid (Site 3),Penicillin
Doxycycline  (Site 5),Cycline
Doxycycline  (Site 6),Cycline
N-demethyl erythromycin (Site 5),Macrolide
Bedaquiline (Site 7),Diarylquinoline
Metronidazole (Site 4),Azole
N-demethyl erythromycin (Site 6),Macrolide
Florfenicol (Site 7),Amphenicol
Amoxicilloic acid (Site 4),Penicillin
Penicillin V (Site 3),Penicillin
N-demethyl erythromycin (Site 1),Macrolide
Flumequine (Site 5),Quinolone
Amoxicilloic acid (Site 9),Penicillin
Azithromycin (Site 2),Macrolide
Acetyl-isoniazid  (Site 6),Isoniazid
Erythromycin (Site 9),Macrolide
