0,Class A
Ethambutol (Site 3),Ethambutol
4-hydroxy-trimethoprim  (Site 8),Trimethoprim
N-demethyl erythromycin (Site 1),Macrolide
Trimethoprim (Site 2),Trimethoprim
Gatifloxacin (Site 2),Quinolone
N-demethyl erythromycin (Site 5),Macrolide
Sarafloxacin (Site 7),Quinolone
Flumequine (Site 4),Quinolone
Lomefloxacin (Site 7),Quinolone
Capreomycin IA (Site 6),Aminoglycoside
N-desmethyl clarithromycin  (Site 6),Macrolide
Norfloxacin (Site 3),Quinolone
Cefixime (Site 9),Cefalosporin
Rifabutin (Site 5),Rifamycin
Amoxicillin (Site 7),Penicillin
Ethambutol (Site 6),Ethambutol
Amoxicillin (Site 8),Penicillin
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione (Site 5)",Nitrofuran
Florfenicol (Site 7),Amphenicol
Deacetyl-ketoconazole  (Site 9),Azole
5-Hydroxy-pyrazinoic acid  (Site 8),Pyrazinamide
4-hydroxy-trimethoprim  (Site 2),Trimethoprim
Nitrofurantoin (Site 8),Nitrofuran
Sulfasalazine (Site 5),Sulfonamides
Ulifloxacin (Site 4),Quinolone
