0,Class A
Nalidixic acid (Site 4),Quinolone
Florfenicol (Site 7),Amphenicol
Lamivudine (Site 5),NRTI
Ethambutol (Site 3),Ethambutol
Ethambutol (Site 8),Ethambutol
N-demethyl erythromycin (Site 1),Macrolide
N-desmethyl clarithromycin  (Site 6),Macrolide
Streptomycin A (Site 4),Aminoglycoside
Clindamycin (Site 7),Lincomycin
Lamivudine (Site 9),NRTI
Emtricitabine (Site 7),NRTI
Rifabutin (Site 3),Rifamycin
4-hydroxy-trimethoprim  (Site 6),Trimethoprim
Streptomycin A (Site 9),Aminoglycoside
25-desacetyl rifampicin  (Site 7),Rifamycin
Rifampicin (Site 6),Rifamycin
Linezolid (Site 6),Oxazolidinone
Kanamycin A (Site 3),Aminoglycoside
Enrofloxacin (Site 3),Quinolone
Imipenem (Site 8),Carbapenem
Ulifloxacin (Site 5),Quinolone
Flucloxacillin (Site 4),Penicillin
Acetyl-isoniazid  (Site 1),Isoniazid
Bedaquiline (Site 5),Diarylquinoline
Ethambutol (Site 7),Ethambutol
