0,Class A
Streptomycin A (Site 7),Aminoglycoside
Sulfadiazine (Site 9),Sulfonamide
Trimethoprim (Site 2),Trimethoprim
Bedaquiline (Site 5),Diarylquinoline
Flumequine (Site 4),Quinolone
Bedaquiline (Site 7),Diarylquinoline
N-demethyl erythromycin (Site 1),Macrolide
N-acetyl sulfadiazine  (Site 3),Sulfonamide
Emtricitabine (Site 2),NRTI
N-desmethyl clarithromycin  (Site 6),Macrolide
Capreomycin IA (Site 6),Aminoglycoside
N-desmethyl clarithromycin  (Site 2),Macrolide
N-demethyl erythromycin (Site 5),Macrolide
Florfenicol (Site 7),Amphenicol
Amoxicillin (Site 8),Penicillin
Cefixime (Site 9),Cefalosporin
Gentamycin C1a (Site 3),Aminoglycoside
Sulfasalazine (Site 5),Sulfonamides
Desethylene ciprofloxacin (Site 2),Quinolone
Aztreonam (Site 7),Monobactam
Acetyl-isoniazid  (Site 1),Isoniazid
Rifampicin (Site 9),Rifamycin
Azithromycin (Site 9),Macrolide
Streptomycin A (Site 9),Aminoglycoside
Sarafloxacin (Site 5),Quinolone
