0,Class A
5-Hydroxy-pyrazinoic acid  (Site 7),Pyrazinamide
Penicilloic G acid (Site 3),Penicillin
4-hydroxy-trimethoprim  (Site 4),Trimethoprim
Hydroxy-metronidazole  (Site 6),Azole
Hydroxy-norfloxacin  (Site 9),Quinolone
Cefixime (Site 2),Cefalosporin
Meropenem (Site 9),Carbapenem
Sarafloxacin (Site 5),Quinolone
Amoxicilloic acid (Site 4),Penicillin
Danofloxacin (Site 9),Quinolone
Deacetyl-ketoconazole  (Site 7),Azole
Emtricitabine (Site 4),NRTI
N-demethyl erythromycin (Site 5),Macrolide
N-desmethyl clarithromycin  (Site 6),Macrolide
Linezolid (Site 5),Oxazolidinone
Chloramphenicol (Site 8),Amphenicol
Gentamycin C2 C2a C2b (Site 4),Aminoglycoside
Nitrofurantoin (Site 5),Nitrofuran
5-Hydroxy-pyrazinoic acid  (Site 9),Pyrazinamide
Ofloxacin (Levofloxacin) (Site 8),Quinolone
Delamanid (Site 2),Nitroimidazole
Ulifloxacin (Site 5),Quinolone
Kanamycin A (Site 3),Aminoglycoside
Ceftriaxone (Site 4),Cefalosporin
N-desmethyl clarithromycin  (Site 2),Macrolide
