Features,Ranking
Rifabutin_site9,1
Isonicotinic acid_site3,2
Nalidixic acid_site6,3
Flumequine_site3,4
N-desmethyl clarithromycin _site2,5
Flucloxacillin_site4,6
Cefixime_site2,7
Florfenicol_site3,8
Doxycycline _site7,9
Doxycycline _site5,10
N-demethyl erythromycin_site5,11
Pyrazinamide_site5,12
Enrofloxacin_site3,13
4-hydroxy-trimethoprim _site2,14
Nalidixic acid_site8,15
Isonicotinic acid_site4,16
Linezolid_site6,17
Oxytetracycline_site3,18
Tetracycline_site7,19
N-demethyl erythromycin_site1,20
Nitrofurantoin_site2,21
Desmethyl-ofloxacin _site8,22
Ulifloxacin_site5,23
Bedaquiline_site5,24
Trimethoprim_site6,25
Tetracycline_site8,26
Capreomycin IA_site6,27
Lamivudine_site9,28
Kanamycin A_site4,29
Lamivudine_site5,30
Moxifloxacin_site7,31
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site4",32
4-hydroxy-trimethoprim _site8,33
Linezolid_site3,34
Oxytetracycline_site2,35
Amoxicillin_site9,36
Deacetyl-ketoconazole _site6,37
Acetyl-isoniazid _site4,38
Rifabutin_site6,39
Ketoconazole_site6,40
Flumequine_site4,41
N-desmethyl azithromycin _site4,42
Imipenem_site8,43
Ceftiofur_site8,44
Ampicillin_site5,45
Emtricitabine_site6,46
Amoxicilloic acid_site8,47
Doxycycline _site6,48
Isonicotinic acid_site6,49
4-hydroxy-trimethoprim _site5,50
25-O-desacetyl rifabutin _site8,51
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site9",52
Thalidomide_site5,53
Clarithromycin_site9,54
Streptomycin A_site4,55
Nitrofurantoin_site9,56
Nitrofurantoin_site3,57
Sulfamethoxazole_site6,58
Amoxicilloic acid_site7,59
Azithromycin_site4,60
Ofloxacin N-oxide_site3,61
Aztreonam_site8,62
Sarafloxacin_site6,63
Tetracycline_site2,64
Trimethoprim_site2,65
Sulfasalazine_site4,66
Azithromycin_site7,67
25-desacetyl rifampicin _site7,68
Ethambutol_site5,69
Ofloxacin N-oxide_site8,70
