Features,Ranking
Lomefloxacin_site9,1
Linezolid_site6,2
N-demethyl erythromycin_site5,3
Isonicotinic acid_site4,4
Metronidazole_site7,5
Isonicotinic acid_site9,6
4-hydroxy-trimethoprim _site6,7
Isonicotinic acid_site5,8
Ampicillin_site4,9
Nalidixic acid_site8,10
Enrofloxacin_site3,11
Acetyl-isoniazid _site1,12
Ketoconazole_site6,13
Gentamycin C1_site5,14
Sulfasalazine_site8,15
Sulfamethoxazole_site6,16
N-demethyl erythromycin_site1,17
Gentamycin C1_site6,18
Bedaquiline_site5,19
Trimethoprim_site6,20
Flucloxacillin_site4,21
N-desmethyl clarithromycin _site2,22
Meropenem_site6,23
Emtricitabine_site6,24
Ceftriaxone_site7,25
Penicilloic G acid_site6,26
Enrofloxacin_site6,27
Flumequine_site4,28
Doxycycline _site7,29
Capreomycin IA_site2,30
Isonicotinic acid_site3,31
Rifampicin_site7,32
Sulfamethoxazole_site7,33
Linezolid_site2,34
Linezolid_site3,35
Tetracycline_site8,36
Ulifloxacin_site5,37
Penicillin V_site7,38
Penicillin V_site8,39
Ulifloxacin_site8,40
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site7",41
Nitrofurantoin_site3,42
Sulfadiazine_site4,43
Metronidazole_site8,44
Amoxicillin_site9,45
Pyrazinamide_site5,46
Nadifloxacin_site7,47
Meropenem_site8,48
Desmethyl-ofloxacin _site8,49
Linezolid_site4,50
Ceftiofur_site8,51
Florfenicol_site6,52
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site3",53
Pyrazinamide_site4,54
Ceftiofur_site3,55
Erythromycin_site4,56
Delamanid_site9,57
N-acetyl sulfamethoxazole _site7,58
Isonicotinic acid_site6,59
Amoxicilloic acid_site7,60
Clindamycin_site5,61
Sulfapyridine_site6,62
Nitrofurantoin_site2,63
N-acetyl sulfamethoxazole _site3,64
Azithromycin_site9,65
Nadifloxacin_site3,66
Gentamycin C1a_site6,67
N-desmethyl azithromycin _site4,68
Ketoconazole_site9,69
Imipenem_site8,70
Pyrazinamide_site2,71
Rifabutin_site9,72
Nalidixic acid_site3,73
Florfenicol_site3,74
Azithromycin_site4,75
Nadifloxacin_site2,76
Ceftiofur_site6,77
Ampicillin_site2,78
Capreomycin IA_site6,79
Tetracycline_site2,80
Penicillin G_site8,81
Gentamycin C1a_site2,82
Aztreonam_site9,83
Penicillin G_site7,84
Gentamycin C2 C2a C2b_site5,85
25-desacetyl rifampicin _site6,86
Amoxicilloic acid_site8,87
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site9",88
