Features,Ranking
Florfenicol_site3,1
Rifabutin_site9,2
25-O-desacetyl rifabutin _site8,3
Amoxicilloic acid_site6,4
Bedaquiline_site5,5
25-desacetyl rifampicin _site7,6
Capreomycin IA_site9,7
Nitrofurantoin_site2,8
Emtricitabine_site2,9
Ofloxacin N-oxide_site3,10
Linezolid_site3,11
Cefixime_site2,12
Desmethyl-ofloxacin _site8,13
Cefixime_site9,14
Azithromycin_site9,15
Isonicotinic acid_site3,16
Thalidomide_site5,17
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site4",18
Deacetyl-ketoconazole _site7,19
Ceftriaxone_site6,20
Amoxicillin_site8,21
Trimethoprim_site6,22
N-demethyl erythromycin_site1,23
Hydroxy-metronidazole _site6,24
Aztreonam_site8,25
Meropenem_site4,26
Aztreonam_site7,27
Ulifloxacin_site8,28
Amoxicilloic acid_site4,29
Amoxicilloic acid_site8,30
Tetracycline_site8,31
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site9",32
Streptomycin A_site7,33
Amoxicillin_site9,34
Emtricitabine_site7,35
Sulfadiazine_site9,36
N-demethyl erythromycin_site5,37
Doxycycline _site6,38
Imipenem_site8,39
Rifabutin_site6,40
N-desmethyl azithromycin _site4,41
4-hydroxy-trimethoprim _site8,42
Hydroxy-norfloxacin _site9,43
Capreomycin IA_site6,44
Flumequine_site4,45
Gentamycin C1a_site3,46
4-hydroxy-trimethoprim _site9,47
Pyrazinamide_site5,48
Nitrofurantoin_site9,49
Penicilloic G acid_site3,50
Tetracycline_site7,51
Penicillin G_site2,52
Lamivudine_site7,53
Ofloxacin (Levofloxacin)_site8,54
Isonicotinic acid_site4,55
Linezolid_site6,56
Desmethyl-ofloxacin _site6,57
N-acetyl sulfapyridine _site6,58
N-acetyl sulfadiazine _site3,59
Azithromycin_site4,60
Ceftiofur_site8,61
Cefixime_site7,62
Deacetyl-ketoconazole _site6,63
Azithromycin_site7,64
Prulifloxacin_site2,65
Ketoconazole_site6,66
Ethambutol_site5,67
Danofloxacin_site9,68
Isonicotinic acid_site9,69
Linezolid_site5,70
Amoxicillin_site5,71
4-hydroxy-trimethoprim _site2,72
Isonicotinic acid_site5,73
Sulfamethoxazole_site5,74
Meropenem_site9,75
Isonicotinic acid_site6,76
Ciprofloxacin_site6,77
Amoxicillin_site6,78
Oxytetracycline_site2,79
N-demethyl erythromycin_site6,80
Sulfasalazine_site4,81
5-Hydroxy-pyrazinoic acid _site7,82
Nadifloxacin_site7,83
25-O-desacetyl rifabutin _site7,84
Meropenem_site8,85
Amoxicilloic acid_site9,86
Florfenicol_site6,87
Metronidazole_site5,88
N-acetyl sulfadiazine _site6,89
Erythromycin_site4,90
Oxytetracycline_site8,91
Clindamycin_site5,92
Gentamycin C1_site9,93
Sulfapyridine_site6,94
Nadifloxacin_site3,95
Gentamycin C1a_site4,96
Erythromycin_site6,97
Trimethoprim_site2,98
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site1",99
Linezolid_site4,100
Ketoconazole_site7,101
Lamivudine_site8,102
Lamivudine_site5,103
Sulfasalazine_site5,104
Gentamycin C1a_site6,105
Azithromycin_site2,106
Ofloxacin N-oxide_site7,107
Erythromycin_site9,108
Oxytetracycline_site3,109
Sulfapyridine_site5,110
N-desmethyl clarithromycin _site2,111
Acetyl-isoniazid _site1,112
Emtricitabine_site6,113
Delamanid_site4,114
5-Hydroxy-pyrazinoic acid _site9,115
Nalidixic acid_site3,116
Nadifloxacin_site2,117
Doxycycline _site7,118
Gentamycin C2 C2a C2b_site4,119
Penicillin G_site8,120
D-cycloserine_site4,121
Nalidixic acid_site8,122
Penicillin G_site7,123
Ampicillin_site5,124
Acetyl-isoniazid _site4,125
Nitrofurantoin_site8,126
Tetracycline_site2,127
Florfenicol_site7,128
Trimethoprim_site4,129
Ofloxacin N-oxide_site2,130
Ampicillin_site2,131
Isonicotinic acid_site8,132
Isoniazid_site1,133
Penicilloic G acid_site5,134
Rifampicin_site6,135
Ceftriaxone_site4,136
Kanamycin A_site6,137
Gentamycin C2 C2a C2b_site5,138
Ampicilloic acid_site9,139
Gentamycin C2 C2a C2b_site9,140
Pyrazinamide_site7,141
Nadifloxacin_site4,142
Sulfamethoxazole_site4,143
Penicillin V_site8,144
Ulifloxacin_site4,145
Ethambutol_site9,146
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site7",147
Streptomycin A_site4,148
N-desmethyl azithromycin _site6,149
Prulifloxacin_site4,150
Acetyl-isoniazid _site6,151
Cefixime_site4,152
Ampicilloic acid_site4,153
Bedaquiline_site2,154
Streptomycin A_site9,155
Penicillin G_site3,156
Hydroxy-metronidazole _site4,157
Kanamycin A_site3,158
Flucloxacillin_site7,159
Doxycycline _site5,160
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site5",161
Pyrazinamide_site4,162
Hydroxy-norfloxacin _site6,163
Cefalexin_site4,164
Gentamycin C1a_site2,165
Ofloxacin N-oxide_site8,166
Gentamycin C1_site8,167
Nitrofurantoin_site7,168
Ceftriaxone_site9,169
Sulfadiazine_site4,170
Danofloxacin_site7,171
Desethylene ciprofloxacin_site7,172
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site3",173
Nalidixic acid_site6,174
Nalidixic acid_site5,175
N-desmethyl clindamycin _site7,176
N-demethyl erythromycin_site7,177
Sarafloxacin_site6,178
N-acetyl sulfamethoxazole _site6,179
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site7",180
D-cycloserine_site5,181
Clarithromycin_site9,182
Deacetyl-ketoconazole _site4,183
Cefalexin_site7,184
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site9",185
Danofloxacin_site4,186
D-cycloserine_site9,187
Rifampicin_site3,188
Pyrazinamide_site2,189
Ceftriaxone_site5,190
Acetyl-isoniazid _site7,191
Nitrofurantoin_site3,192
Oxytetracycline_site9,193
Ceftiofur_site3,194
Thalidomide_site3,195
Chloramphenicol_site6,196
Ethambutol_site8,197
Deacetyl-ketoconazole _site8,198
N-acetyl sulfadiazine _site8,199
Gentamycin C1a_site9,200
Azithromycin_site3,201
Moxifloxacin_site7,202
Moxifloxacin_site5,203
Gentamycin C2 C2a C2b_site2,204
Erythromycin_site3,205
Sarafloxacin_site9,206
Delamanid_site8,207
N-desmethyl clarithromycin _site8,208
Ceftiofur_site5,209
Oxytetracycline_site4,210
Amoxicillin_site7,211
4-hydroxy-trimethoprim _site4,212
Flucloxacillin_site8,213
Aztreonam_site5,214
Lomefloxacin_site7,215
Ethambutol_site7,216
Prulifloxacin_site3,217
Azithromycin_site8,218
Penicilloic G acid_site4,219
Ofloxacin N-oxide_site4,220
Thalidomide_site8,221
N-desmethyl clarithromycin _site9,222
25-O-desacetyl rifabutin _site5,223
Sarafloxacin_site7,224
Deacetyl-ketoconazole _site9,225
Ampicilloic acid_site3,226
Rifampicin_site9,227
Moxifloxacin_site6,228
Flucloxacillin_site4,229
Aztreonam_site2,230
Ofloxacin N-oxide_site6,231
Gentamycin C1a_site5,232
Doxycycline _site4,233
Chloramphenicol_site8,234
Ciprofloxacin_site2,235
Nitrofurantoin_site5,236
Sulfadiazine_site5,237
Emtricitabine_site4,238
Tetracycline_site6,239
N-acetyl sulfadiazine _site2,240
Capreomycin IB_site4,241
Oxytetracycline_site5,242
4-hydroxy-trimethoprim _site5,243
Isonicotinic acid_site7,244
Metronidazole_site4,245
Amoxicilloic acid_site7,246
Desethylene ciprofloxacin_site2,247
Thalidomide_site9,248
Chloramphenicol_site2,249
Sulfasalazine_site8,250
Moxifloxacin_site8,251
Pyrazinamide_site9,252
Lomefloxacin_site8,253
Linezolid_site9,254
Trimethoprim_site1,255
Penicillin V_site2,256
Gentamycin C1_site2,257
Amoxicilloic acid_site5,258
Sarafloxacin_site3,259
Metronidazole_site8,260
Hydroxy-metronidazole _site5,261
Danofloxacin_site6,262
Ampicillin_site4,263
Emtricitabine_site5,264
Thalidomide_site6,265
Sulfamethoxazole_site6,266
Sarafloxacin_site8,267
Thalidomide_site4,268
Thalidomide_site7,269
Penicillin V_site1,270
Tetracycline_site4,271
Ketoconazole_site9,272
25-O-desacetyl rifabutin _site6,273
Emtricitabine_site1,274
Hydroxy-metronidazole _site7,275
Nalidixic acid_site7,276
Trimethoprim_site5,277
Delamanid_site7,278
Prulifloxacin_site1,279
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site6",280
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site8",281
N-acetyl sulfamethoxazole _site4,282
Norfloxacin_site6,283
Prulifloxacin_site6,284
Ethambutol_site2,285
Delamanid_site6,286
Gentamycin C1a_site7,287
25-desacetyl rifampicin _site6,288
Enrofloxacin_site6,289
Enrofloxacin_site7,290
Erythromycin_site7,291
Penicillin V_site3,292
Ofloxacin N-oxide_site5,293
Sulfadiazine_site7,294
Desmethyl-ofloxacin _site7,295
Prulifloxacin_site7,296
Streptomycin A_site2,297
25-O-desacetyl rifabutin _site1,298
Erythromycin_site5,299
Emtricitabine_site8,300
Hydroxy-norfloxacin _site1,301
Desethylene ciprofloxacin_site3,302
Ceftiofur_site6,303
Chloramphenicol_site5,304
N-demethyl erythromycin_site3,305
Desmethyl-ofloxacin _site4,306
Streptomycin A_site8,307
Lamivudine_site9,308
N-desmethyl azithromycin _site1,309
Meropenem_site5,310
Sarafloxacin_site4,311
Clindamycin_site7,312
Penicillin G_site4,313
25-O-desacetyl rifabutin _site4,314
Acetyl-isoniazid _site2,315
Linezolid_site1,316
Nadifloxacin_site5,317
Nadifloxacin_site6,318
Ceftriaxone_site2,319
Imipenem_site7,320
Azithromycin_site6,321
Flumequine_site6,322
Ceftiofur_site1,323
Penicilloic G acid_site2,324
Pyrazinamide_site8,325
Gatifloxacin_site7,326
Flucloxacillin_site9,327
Isonicotinic acid_site1,328
D-cycloserine_site3,329
Hydroxy-norfloxacin _site2,330
Flumequine_site2,331
Aztreonam_site3,332
Clindamycin_site6,333
Desmethyl-ofloxacin _site2,334
Norfloxacin_site3,335
Ethambutol_site1,336
Capreomycin IB_site5,337
Sulfadiazine_site8,338
Hydroxy-norfloxacin _site7,339
4-hydroxy-trimethoprim _site1,340
Ciprofloxacin_site7,341
Acetyl-isoniazid _site3,342
Chloramphenicol_site9,343
Sulfapyridine_site7,344
Cefalexin_site6,345
Besifloxacin_site6,346
Ulifloxacin_site1,347
N-desmethyl clindamycin _site6,348
Acetyl-isoniazid _site8,349
Capreomycin IA_site7,350
Rifabutin_site4,351
Ampicillin_site7,352
Clindamycin_site9,353
Meropenem_site2,354
Clarithromycin_site7,355
Nitrofurantoin_site1,356
Penicillin V_site7,357
Ceftriaxone_site8,358
Ketoconazole_site2,359
Ketoconazole_site8,360
Metronidazole_site1,361
N-desmethyl azithromycin _site9,362
Bedaquiline_site7,363
Ciprofloxacin_site5,364
25-desacetyl rifampicin _site4,365
Capreomycin IB_site6,366
Sulfasalazine_site1,367
25-desacetyl rifampicin _site9,368
Gentamycin C1_site5,369
Ketoconazole_site3,370
Hydroxy-norfloxacin _site5,371
Flumequine_site5,372
Sulfamethoxazole_site7,373
Sulfasalazine_site6,374
Ampicillin_site6,375
Desethylene ciprofloxacin_site6,376
Aztreonam_site9,377
N-demethyl erythromycin_site4,378
Ethambutol_site4,379
Kanamycin A_site7,380
Pyrazinamide_site6,381
Bedaquiline_site9,382
Moxifloxacin_site9,383
Capreomycin IA_site2,384
Sulfapyridine_site4,385
Linezolid_site2,386
Enrofloxacin_site9,387
Sulfasalazine_site3,388
Capreomycin IB_site7,389
Doxycycline _site9,390
Lamivudine_site2,391
N-acetyl sulfapyridine _site8,392
Sulfapyridine_site1,393
Aztreonam_site4,394
4-hydroxy-trimethoprim _site3,395
Aztreonam_site1,396
Gatifloxacin_site2,397
Cefalexin_site9,398
Amoxicilloic acid_site3,399
Ceftiofur_site4,400
Ulifloxacin_site5,401
Nalidixic acid_site4,402
Penicillin V_site4,403
Ketoconazole_site4,404
Clarithromycin_site4,405
Rifampicin_site5,406
Bedaquiline_site3,407
Lamivudine_site6,408
N-desmethyl clarithromycin _site6,409
Ampicillin_site3,410
Amoxicillin_site3,411
5-Hydroxy-pyrazinoic acid _site8,412
Penicillin G_site5,413
Delamanid_site9,414
Sulfapyridine_site9,415
Danofloxacin_site3,416
Norfloxacin_site2,417
Lomefloxacin_site4,418
Isoniazid_site5,419
Enrofloxacin_site3,420
25-O-desacetyl rifabutin _site9,421
4-hydroxy-trimethoprim _site7,422
Flumequine_site3,423
Flucloxacillin_site6,424
Clarithromycin_site8,425
Florfenicol_site8,426
Gentamycin C1_site7,427
Oxytetracycline_site6,428
Rifabutin_site2,429
N-acetyl sulfamethoxazole _site8,430
N-acetyl sulfamethoxazole _site1,431
Ofloxacin (Levofloxacin)_site7,432
Lomefloxacin_site3,433
Gatifloxacin_site5,434
Gatifloxacin_site4,435
Imipenem_site9,436
Ethambutol_site6,437
Enrofloxacin_site5,438
