Features,Ranking
25-desacetyl rifampicin _site4,1
Chloramphenicol_site6,2
Delamanid_site2,3
Amoxicillin_site6,4
Amoxicilloic acid_site6,5
Flucloxacillin_site4,6
4-hydroxy-trimethoprim _site2,7
Tetracycline_site4,8
Emtricitabine_site2,9
N-desmethyl clarithromycin _site2,10
N-desmethyl clarithromycin _site6,11
Lamivudine_site2,12
N-desmethyl clindamycin _site6,13
Trimethoprim_site6,14
Kanamycin A_site4,15
Sulfamethoxazole_site6,16
Capreomycin IA_site6,17
Gentamycin C1a_site4,18
Norfloxacin_site2,19
Chloramphenicol_site2,20
Delamanid_site6,21
Bedaquiline_site2,22
Kanamycin A_site6,23
Isonicotinic acid_site4,24
Ceftiofur_site2,25
Linezolid_site6,26
Norfloxacin_site6,27
Desmethyl-ofloxacin _site2,28
Penicillin G_site4,29
Azithromycin_site6,30
Penicilloic G acid_site2,31
Ampicilloic acid_site6,32
Capreomycin IA_site2,33
Amoxicilloic acid_site4,34
Trimethoprim_site2,35
Flumequine_site2,36
Acetyl-isoniazid _site2,37
Flucloxacillin_site2,38
Florfenicol_site4,39
Imipenem_site2,40
Enrofloxacin_site4,41
Flucloxacillin_site6,42
Sulfapyridine_site2,43
Amoxicillin_site2,44
Gentamycin C2 C2a C2b_site4,45
Meropenem_site2,46
Acetyl-isoniazid _site4,47
Ceftiofur_site4,48
Chloramphenicol_site4,49
Ofloxacin (Levofloxacin)_site4,50
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site4",51
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site6",52
Hydroxy-metronidazole _site4,53
N-acetyl sulfapyridine _site4,54
Rifabutin_site6,55
Hydroxy-norfloxacin _site6,56
Penicilloic G acid_site6,57
Desethylene ciprofloxacin_site2,58
Bedaquiline_site6,59
Ofloxacin (Levofloxacin)_site6,60
Sulfamethoxazole_site2,61
Pyrazinamide_site6,62
Isonicotinic acid_site6,63
Lomefloxacin_site4,64
Florfenicol_site2,65
Ketoconazole_site6,66
Isoniazid_site4,67
Deacetyl-ketoconazole _site6,68
Amoxicilloic acid_site2,69
Rifampicin_site2,70
Clindamycin_site4,71
Danofloxacin_site4,72
Doxycycline _site4,73
N-acetyl sulfamethoxazole _site6,74
Ampicillin_site4,75
Gatifloxacin_site6,76
N-demethyl erythromycin_site4,77
Rifabutin_site2,78
Gatifloxacin_site4,79
Danofloxacin_site6,80
25-desacetyl rifampicin _site2,81
Rifampicin_site4,82
Acetyl-isoniazid _site6,83
4-hydroxy-trimethoprim _site4,84
Kanamycin A_site2,85
Desethylene ciprofloxacin_site4,86
Meropenem_site4,87
Doxycycline _site6,88
N-acetyl sulfamethoxazole _site2,89
