Features,Ranking
Amoxicilloic acid_site6,1
Capreomycin IA_site2,2
Amoxicillin_site8,3
Lamivudine_site8,4
N-desmethyl clindamycin _site6,5
Oxytetracycline_site3,6
N-demethyl erythromycin_site5,7
Delamanid_site2,8
Prulifloxacin_site5,9
N-desmethyl clarithromycin _site2,10
Desethylene ciprofloxacin_site2,11
Nalidixic acid_site8,12
Ofloxacin N-oxide_site5,13
Florfenicol_site7,14
Flucloxacillin_site4,15
Bedaquiline_site7,16
Cefixime_site9,17
Azithromycin_site2,18
Oxytetracycline_site8,19
Linezolid_site6,20
Sulfamethoxazole_site6,21
Emtricitabine_site4,22
Sarafloxacin_site5,23
Emtricitabine_site5,24
Ethambutol_site2,25
25-desacetyl rifampicin _site6,26
Bedaquiline_site5,27
N-acetyl sulfamethoxazole _site7,28
Sulfapyridine_site5,29
N-acetyl sulfadiazine _site6,30
Penicillin V_site3,31
Lamivudine_site4,32
Ketoconazole_site7,33
Ethambutol_site4,34
4-hydroxy-trimethoprim _site4,35
Flumequine_site4,36
Danofloxacin_site9,37
Metronidazole_site7,38
Azithromycin_site6,39
Lomefloxacin_site9,40
Trimethoprim_site2,41
Imipenem_site2,42
Emtricitabine_site2,43
Thalidomide_site9,44
Ethambutol_site7,45
Lomefloxacin_site4,46
Flumequine_site3,47
Tetracycline_site4,48
Ofloxacin (Levofloxacin)_site8,49
Hydroxy-norfloxacin _site8,50
4-hydroxy-trimethoprim _site2,51
Lomefloxacin_site1,52
Amoxicilloic acid_site3,53
Ethambutol_site8,54
Clarithromycin_site7,55
Imipenem_site9,56
Flucloxacillin_site7,57
Acetyl-isoniazid _site4,58
Sarafloxacin_site3,59
Ceftriaxone_site4,60
Deacetyl-ketoconazole _site7,61
Thalidomide_site8,62
Gentamycin C2 C2a C2b_site2,63
Hydroxy-metronidazole _site4,64
Ofloxacin N-oxide_site7,65
Penicillin G_site3,66
Oxytetracycline_site2,67
Ciprofloxacin_site1,68
Meropenem_site5,69
