Features,Ranking
Amoxicilloic acid_site6,1
Metronidazole_site5,2
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site3",3
Desethylene ciprofloxacin_site2,4
Hydroxy-metronidazole _site6,5
Bedaquiline_site5,6
N-demethyl erythromycin_site1,7
Sarafloxacin_site5,8
Nalidixic acid_site8,9
N-desmethyl clarithromycin _site2,10
N-desmethyl clindamycin _site6,11
Cefixime_site9,12
Acetyl-isoniazid _site1,13
Oxytetracycline_site3,14
Sulfapyridine_site5,15
Amoxicillin_site8,16
Flumequine_site4,17
Imipenem_site8,18
N-demethyl erythromycin_site5,19
Ulifloxacin_site5,20
Linezolid_site6,21
Metronidazole_site7,22
Acetyl-isoniazid _site4,23
Delamanid_site2,24
Lamivudine_site6,25
Ethambutol_site4,26
Ethambutol_site2,27
N-desmethyl clarithromycin _site6,28
Azithromycin_site6,29
Acetyl-isoniazid _site8,30
N-desmethyl clarithromycin _site9,31
25-O-desacetyl rifabutin _site6,32
Lomefloxacin_site9,33
Ciprofloxacin_site1,34
Ofloxacin N-oxide_site7,35
Kanamycin A_site4,36
N-acetyl sulfamethoxazole _site7,37
Amoxicillin_site5,38
Sarafloxacin_site3,39
Erythromycin_site3,40
Hydroxy-norfloxacin _site9,41
Sulfamethoxazole_site5,42
Ethambutol_site7,43
Lamivudine_site4,44
Penicillin V_site2,45
Streptomycin A_site9,46
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site1",47
Acetyl-isoniazid _site7,48
Metronidazole_site6,49
Sulfadiazine_site5,50
Meropenem_site5,51
Danofloxacin_site4,52
Ofloxacin N-oxide_site2,53
25-desacetyl rifampicin _site6,54
Desethylene ciprofloxacin_site4,55
Ethambutol_site6,56
N-acetyl sulfadiazine _site6,57
Imipenem_site9,58
Ampicillin_site8,59
Thalidomide_site9,60
Amoxicilloic acid_site3,61
Isoniazid_site5,62
Cefixime_site2,63
N-acetyl sulfapyridine _site8,64
Linezolid_site3,65
Flumequine_site5,66
