Features,Ranking
Sulfamethoxazole_site6,1
Nalidixic acid_site8,2
Oxytetracycline_site3,3
Lamivudine_site2,4
Amoxicilloic acid_site6,5
N-demethyl erythromycin_site1,6
Oxytetracycline_site8,7
Kanamycin A_site4,8
N-desmethyl clarithromycin _site2,9
Imipenem_site8,10
Linezolid_site6,11
N-desmethyl clindamycin _site6,12
Erythromycin_site7,13
Sulfapyridine_site5,14
Erythromycin_site3,15
Gentamycin C2 C2a C2b_site9,16
Azithromycin_site2,17
Sulfamethoxazole_site5,18
Lamivudine_site4,19
Erythromycin_site5,20
Bedaquiline_site5,21
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site1",22
N-desmethyl clarithromycin _site6,23
Penicillin V_site2,24
Trimethoprim_site6,25
Metronidazole_site5,26
Ciprofloxacin_site4,27
Acetyl-isoniazid _site4,28
Isoniazid_site6,29
Amoxicilloic acid_site9,30
Flucloxacillin_site4,31
Capreomycin IA_site6,32
Deacetyl-ketoconazole _site4,33
Ethambutol_site2,34
Acetyl-isoniazid _site6,35
Amoxicilloic acid_site4,36
Cefixime_site9,37
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site3",38
Desethylene ciprofloxacin_site2,39
Pyrazinamide_site5,40
Hydroxy-norfloxacin _site8,41
Doxycycline _site6,42
Meropenem_site9,43
Desethylene ciprofloxacin_site7,44
Amoxicillin_site6,45
Imipenem_site5,46
Gentamycin C1a_site4,47
Flucloxacillin_site7,48
25-desacetyl rifampicin _site4,49
Rifampicin_site9,50
Kanamycin A_site3,51
Prulifloxacin_site4,52
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site4",53
5-Hydroxy-pyrazinoic acid _site9,54
Clarithromycin_site9,55
Penicilloic G acid_site3,56
Enrofloxacin_site3,57
Nitrofurantoin_site2,58
Rifabutin_site6,59
Pyrazinamide_site6,60
Penicilloic G acid_site5,61
Gentamycin C1a_site7,62
Desethylene ciprofloxacin_site3,63
Sarafloxacin_site5,64
Nitrofurantoin_site5,65
4-hydroxy-trimethoprim _site3,66
Ketoconazole_site6,67
Ampicillin_site5,68
Sarafloxacin_site7,69
Ampicilloic acid_site9,70
Ceftiofur_site2,71
Isonicotinic acid_site4,72
Deacetyl-ketoconazole _site7,73
Bedaquiline_site7,74
Tetracycline_site7,75
Flumequine_site4,76
Hydroxy-metronidazole _site6,77
Emtricitabine_site2,78
Capreomycin IB_site5,79
N-desmethyl clarithromycin _site9,80
Lamivudine_site8,81
Acetyl-isoniazid _site1,82
Florfenicol_site5,83
Gentamycin C1_site9,84
Ciprofloxacin_site2,85
25-O-desacetyl rifabutin _site4,86
Ciprofloxacin_site1,87
Oxytetracycline_site4,88
Trimethoprim_site4,89
Acetyl-isoniazid _site3,90
Metronidazole_site6,91
N-acetyl sulfapyridine _site5,92
Ampicilloic acid_site3,93
Isonicotinic acid_site8,94
Ofloxacin N-oxide_site5,95
Moxifloxacin_site8,96
4-hydroxy-trimethoprim _site5,97
Nalidixic acid_site6,98
Nalidixic acid_site7,99
Chloramphenicol_site6,100
Erythromycin_site9,101
Amoxicilloic acid_site2,102
Prulifloxacin_site5,103
Ofloxacin (Levofloxacin)_site8,104
N-acetyl sulfadiazine _site6,105
Lomefloxacin_site8,106
Metronidazole_site4,107
Lamivudine_site6,108
Sulfasalazine_site4,109
Delamanid_site8,110
Sulfasalazine_site7,111
Amoxicillin_site2,112
Rifabutin_site9,113
Trimethoprim_site2,114
Isonicotinic acid_site6,115
Rifampicin_site3,116
Hydroxy-metronidazole _site7,117
Azithromycin_site7,118
Imipenem_site9,119
Gentamycin C2 C2a C2b_site4,120
Tetracycline_site3,121
N-acetyl sulfamethoxazole _site4,122
Emtricitabine_site3,123
Acetyl-isoniazid _site7,124
Lomefloxacin_site5,125
Deacetyl-ketoconazole _site3,126
Isoniazid_site1,127
Amoxicillin_site5,128
Linezolid_site5,129
Deacetyl-ketoconazole _site6,130
Trimethoprim_site1,131
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site9",132
N-demethyl erythromycin_site3,133
N-desmethyl clarithromycin _site8,134
Imipenem_site2,135
Flucloxacillin_site5,136
Metronidazole_site8,137
Sulfamethoxazole_site4,138
Sulfadiazine_site9,139
Pyrazinamide_site7,140
Enrofloxacin_site6,141
Danofloxacin_site9,142
Nadifloxacin_site7,143
Linezolid_site1,144
N-demethyl erythromycin_site4,145
Aztreonam_site7,146
Lamivudine_site9,147
Penicillin V_site3,148
Doxycycline _site8,149
25-O-desacetyl rifabutin _site5,150
4-hydroxy-trimethoprim _site9,151
Sulfasalazine_site8,152
Streptomycin A_site9,153
Gentamycin C2 C2a C2b_site2,154
Norfloxacin_site2,155
Flumequine_site7,156
Ethambutol_site3,157
Lomefloxacin_site1,158
Enrofloxacin_site5,159
Thalidomide_site3,160
Gentamycin C1a_site3,161
Nitrofurantoin_site8,162
N-acetyl sulfadiazine _site3,163
Meropenem_site8,164
Moxifloxacin_site5,165
Clindamycin_site7,166
Capreomycin IB_site6,167
Ulifloxacin_site5,168
Amoxicilloic acid_site5,169
Cefalexin_site7,170
Florfenicol_site6,171
Trimethoprim_site5,172
Azithromycin_site3,173
Tetracycline_site4,174
Streptomycin A_site7,175
Ceftriaxone_site2,176
Sulfamethoxazole_site8,177
Hydroxy-norfloxacin _site5,178
Metronidazole_site1,179
N-acetyl sulfamethoxazole _site3,180
Bedaquiline_site3,181
Clindamycin_site6,182
Cefalexin_site9,183
N-demethyl erythromycin_site7,184
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site8",185
Amoxicillin_site8,186
Streptomycin A_site3,187
Aztreonam_site9,188
Sarafloxacin_site6,189
Delamanid_site6,190
4-hydroxy-trimethoprim _site7,191
Enrofloxacin_site7,192
Emtricitabine_site8,193
25-O-desacetyl rifabutin _site9,194
Ceftriaxone_site9,195
Erythromycin_site4,196
N-desmethyl azithromycin _site9,197
Thalidomide_site8,198
Flumequine_site2,199
Penicillin G_site2,200
Ketoconazole_site8,201
Penicilloic G acid_site4,202
Lomefloxacin_site4,203
Ciprofloxacin_site8,204
Lamivudine_site7,205
Amoxicilloic acid_site3,206
Ceftiofur_site3,207
Lomefloxacin_site7,208
Rifampicin_site6,209
Azithromycin_site8,210
Chloramphenicol_site9,211
Ciprofloxacin_site6,212
Linezolid_site8,213
Florfenicol_site7,214
Linezolid_site2,215
Hydroxy-metronidazole _site4,216
Florfenicol_site3,217
Trimethoprim_site7,218
Delamanid_site2,219
Desethylene ciprofloxacin_site5,220
N-acetyl sulfapyridine _site8,221
Ethambutol_site8,222
Isoniazid_site5,223
Nalidixic acid_site4,224
4-hydroxy-trimethoprim _site8,225
Ceftriaxone_site8,226
Sarafloxacin_site8,227
D-cycloserine_site9,228
Acetyl-isoniazid _site8,229
Ceftiofur_site5,230
N-desmethyl azithromycin _site7,231
Bedaquiline_site2,232
Penicillin V_site6,233
Delamanid_site4,234
Ketoconazole_site9,235
Kanamycin A_site5,236
Rifabutin_site4,237
Enrofloxacin_site9,238
Doxycycline _site9,239
Danofloxacin_site4,240
Ethambutol_site7,241
N-demethyl erythromycin_site5,242
Moxifloxacin_site6,243
Ethambutol_site5,244
Chloramphenicol_site2,245
Acetyl-isoniazid _site5,246
