Features,Ranking
Emtricitabine_site2,1
Lamivudine_site2,2
Lamivudine_site9,3
N-desmethyl clindamycin _site6,4
Bedaquiline_site5,5
Enrofloxacin_site4,6
Ethambutol_site9,7
Ethambutol_site8,8
Sarafloxacin_site5,9
Ethambutol_site2,10
Ofloxacin N-oxide_site5,11
Prulifloxacin_site1,12
Emtricitabine_site1,13
N-acetyl sulfamethoxazole _site7,14
Ethambutol_site4,15
Ceftriaxone_site4,16
Linezolid_site6,17
Chloramphenicol_site2,18
Rifampicin_site9,19
4-hydroxy-trimethoprim _site3,20
Streptomycin A_site9,21
Enrofloxacin_site7,22
N-demethyl erythromycin_site5,23
Penicillin V_site1,24
Sarafloxacin_site8,25
Norfloxacin_site6,26
Sulfadiazine_site7,27
Delamanid_site2,28
Streptomycin A_site8,29
Tetracycline_site4,30
Hydroxy-norfloxacin _site6,31
Nalidixic acid_site8,32
4-hydroxy-trimethoprim _site2,33
Thalidomide_site5,34
Hydroxy-norfloxacin _site1,35
Chloramphenicol_site6,36
Isonicotinic acid_site9,37
Nitrofurantoin_site1,38
25-desacetyl rifampicin _site4,39
Ofloxacin N-oxide_site2,40
Linezolid_site1,41
Cefixime_site9,42
Lamivudine_site4,43
Trimethoprim_site1,44
Rifampicin_site6,45
Amoxicillin_site8,46
Ceftiofur_site2,47
Lomefloxacin_site9,48
25-O-desacetyl rifabutin _site1,49
Ofloxacin N-oxide_site7,50
Metronidazole_site1,51
Meropenem_site4,52
Hydroxy-norfloxacin _site8,53
Ampicilloic acid_site6,54
Bedaquiline_site1,55
Desethylene ciprofloxacin_site2,56
Rifampicin_site3,57
Flucloxacillin_site7,58
Acetyl-isoniazid _site9,59
Prulifloxacin_site5,60
Ethambutol_site3,61
Erythromycin_site6,62
Penicillin G_site4,63
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site3",64
Emtricitabine_site3,65
Delamanid_site6,66
Rifampicin_site1,67
Rifabutin_site5,68
Kanamycin A_site6,69
Deacetyl-ketoconazole _site7,70
Streptomycin A_site5,71
25-O-desacetyl rifabutin _site4,72
Hydroxy-norfloxacin _site7,73
Clindamycin_site7,74
Ciprofloxacin_site1,75
Sulfamethoxazole_site5,76
Amoxicillin_site6,77
Clarithromycin_site1,78
Norfloxacin_site4,79
N-desmethyl azithromycin _site1,80
Ofloxacin (Levofloxacin)_site6,81
25-desacetyl rifampicin _site6,82
4-hydroxy-trimethoprim _site5,83
Isoniazid_site9,84
Hydroxy-norfloxacin _site5,85
Aztreonam_site7,86
Azithromycin_site9,87
Sulfapyridine_site5,88
25-desacetyl rifampicin _site1,89
Ciprofloxacin_site4,90
Sulfapyridine_site7,91
Penicillin G_site5,92
Bedaquiline_site3,93
Acetyl-isoniazid _site1,94
Sulfadiazine_site9,95
Cefalexin_site9,96
Chloramphenicol_site1,97
N-desmethyl azithromycin _site7,98
Florfenicol_site4,99
Sulfasalazine_site8,100
Sulfadiazine_site8,101
Isoniazid_site7,102
Capreomycin IB_site9,103
Isoniazid_site6,104
N-desmethyl clarithromycin _site9,105
