Features,Ranking
Nitrofurantoin_site1,1
25-O-desacetyl rifabutin _site2,2
Flumequine_site4,3
Hydroxy-metronidazole _site6,4
Oxytetracycline_site3,5
N-demethyl erythromycin_site5,6
Nalidixic acid_site8,7
Ulifloxacin_site7,8
Hydroxy-norfloxacin _site8,9
Cefixime_site9,10
N-desmethyl clarithromycin _site2,11
4-hydroxy-trimethoprim _site3,12
Flumequine_site2,13
Amoxicilloic acid_site6,14
Streptomycin A_site3,15
Ampicillin_site5,16
Trimethoprim_site2,17
Bedaquiline_site5,18
Emtricitabine_site2,19
Rifampicin_site9,20
Amoxicillin_site8,21
Linezolid_site1,22
Streptomycin A_site4,23
Sulfapyridine_site5,24
Trimethoprim_site1,25
Streptomycin A_site5,26
Metronidazole_site1,27
Ofloxacin (Levofloxacin)_site8,28
Streptomycin A_site8,29
4-hydroxy-trimethoprim _site2,30
Sulfasalazine_site3,31
Chloramphenicol_site2,32
Deacetyl-ketoconazole _site6,33
Sulfadiazine_site7,34
Capreomycin IA_site6,35
Penicilloic G acid_site2,36
Chloramphenicol_site6,37
Prulifloxacin_site5,38
Ceftiofur_site1,39
Clindamycin_site7,40
Hydroxy-norfloxacin _site1,41
Sulfadiazine_site8,42
Kanamycin A_site6,43
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site1",44
Enrofloxacin_site4,45
Rifampicin_site3,46
Ethambutol_site4,47
Kanamycin A_site3,48
Hydroxy-norfloxacin _site7,49
Acetyl-isoniazid _site1,50
Ethambutol_site1,51
Norfloxacin_site6,52
Doxycycline _site9,53
Acetyl-isoniazid _site4,54
Nitrofurantoin_site5,55
Lamivudine_site2,56
Ofloxacin N-oxide_site7,57
Hydroxy-norfloxacin _site5,58
Imipenem_site8,59
Enrofloxacin_site9,60
Doxycycline _site5,61
Chloramphenicol_site8,62
Lomefloxacin_site7,63
Flucloxacillin_site6,64
Penicillin V_site9,65
Kanamycin A_site4,66
Hydroxy-norfloxacin _site9,67
Sarafloxacin_site7,68
25-O-desacetyl rifabutin _site3,69
Pyrazinamide_site6,70
4-hydroxy-trimethoprim _site1,71
Capreomycin IA_site7,72
Emtricitabine_site4,73
Capreomycin IA_site9,74
Bedaquiline_site3,75
N-desmethyl clindamycin _site6,76
Meropenem_site2,77
Acetyl-isoniazid _site7,78
Prulifloxacin_site1,79
Nadifloxacin_site6,80
Danofloxacin_site3,81
Capreomycin IB_site9,82
Desethylene ciprofloxacin_site5,83
Erythromycin_site5,84
Ulifloxacin_site1,85
N-desmethyl clindamycin _site9,86
Ethambutol_site3,87
Florfenicol_site3,88
Ampicillin_site3,89
Emtricitabine_site1,90
Nitrofurantoin_site8,91
Metronidazole_site5,92
Lamivudine_site8,93
N-desmethyl azithromycin _site1,94
Besifloxacin_site7,95
N-desmethyl clarithromycin _site8,96
Penicillin G_site4,97
Nalidixic acid_site4,98
Ceftriaxone_site4,99
Rifampicin_site5,100
Lamivudine_site9,101
N-demethyl erythromycin_site6,102
4-hydroxy-trimethoprim _site4,103
Nalidixic acid_site7,104
Gentamycin C2 C2a C2b_site7,105
25-O-desacetyl rifabutin _site1,106
Clarithromycin_site9,107
Ceftiofur_site4,108
Erythromycin_site6,109
Penicillin V_site1,110
Isoniazid_site9,111
Isoniazid_site1,112
Lamivudine_site4,113
