Features,Ranking
N-desmethyl azithromycin _site4,1
Nalidixic acid_site8,2
N-desmethyl clarithromycin _site2,3
Amoxicillin_site6,4
Nalidixic acid_site4,5
Acetyl-isoniazid _site4,6
N-desmethyl clarithromycin _site6,7
Ulifloxacin_site5,8
25-O-desacetyl rifabutin _site8,9
Linezolid_site6,10
Streptomycin A_site4,11
Sulfapyridine_site5,12
Florfenicol_site7,13
Ofloxacin N-oxide_site3,14
Metronidazole_site5,15
Hydroxy-metronidazole _site6,16
Amoxicillin_site9,17
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site3",18
Flucloxacillin_site7,19
Moxifloxacin_site7,20
Rifabutin_site3,21
Ceftiofur_site2,22
Deacetyl-ketoconazole _site7,23
Ceftriaxone_site5,24
Amoxicillin_site8,25
Amoxicilloic acid_site6,26
Deacetyl-ketoconazole _site6,27
Tetracycline_site8,28
N-demethyl erythromycin_site5,29
Aztreonam_site4,30
Imipenem_site8,31
Streptomycin A_site9,32
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site1",33
Amoxicilloic acid_site4,34
Penicillin V_site9,35
Aztreonam_site6,36
Sulfasalazine_site4,37
Acetyl-isoniazid _site1,38
Ampicillin_site5,39
Linezolid_site5,40
Amoxicillin_site4,41
Oxytetracycline_site6,42
Aztreonam_site8,43
25-O-desacetyl rifabutin _site3,44
Cefalexin_site6,45
Aztreonam_site9,46
Nitrofurantoin_site2,47
Clarithromycin_site9,48
Ofloxacin (Levofloxacin)_site6,49
Bedaquiline_site4,50
Amoxicilloic acid_site8,51
Rifampicin_site9,52
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site9",53
Desethylene ciprofloxacin_site2,54
Ampicillin_site6,55
Emtricitabine_site3,56
Linezolid_site3,57
Isonicotinic acid_site2,58
Desmethyl-ofloxacin _site6,59
Ceftriaxone_site9,60
N-acetyl sulfamethoxazole _site7,61
Sarafloxacin_site5,62
Flumequine_site4,63
Meropenem_site4,64
Sulfamethoxazole_site6,65
Ceftiofur_site8,66
Sulfasalazine_site8,67
Pyrazinamide_site6,68
Nitrofurantoin_site8,69
Isoniazid_site1,70
Nitrofurantoin_site5,71
Azithromycin_site4,72
Metronidazole_site7,73
Ofloxacin (Levofloxacin)_site8,74
N-desmethyl clindamycin _site6,75
Capreomycin IA_site6,76
Amoxicillin_site5,77
Azithromycin_site7,78
Sulfasalazine_site5,79
Nitrofurantoin_site9,80
Metronidazole_site8,81
Pyrazinamide_site8,82
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site5",83
Penicillin G_site2,84
Cefalexin_site7,85
Lomefloxacin_site9,86
Gentamycin C2 C2a C2b_site4,87
Tetracycline_site2,88
Lamivudine_site4,89
Gentamycin C1a_site5,90
Delamanid_site4,91
Sulfamethoxazole_site5,92
Ofloxacin N-oxide_site8,93
5-Hydroxy-pyrazinoic acid _site9,94
Enrofloxacin_site9,95
Prulifloxacin_site5,96
Thalidomide_site7,97
D-cycloserine_site4,98
Nalidixic acid_site7,99
Delamanid_site2,100
Ceftriaxone_site7,101
Florfenicol_site3,102
Flumequine_site2,103
5-Hydroxy-pyrazinoic acid _site7,104
Sulfapyridine_site4,105
25-desacetyl rifampicin _site4,106
N-desmethyl clarithromycin _site8,107
Ceftiofur_site3,108
Sulfapyridine_site9,109
Hydroxy-norfloxacin _site5,110
Oxytetracycline_site2,111
Sulfasalazine_site6,112
Thalidomide_site5,113
Danofloxacin_site7,114
Enrofloxacin_site6,115
Flumequine_site9,116
Ampicillin_site3,117
Flucloxacillin_site8,118
Besifloxacin_site6,119
Clindamycin_site9,120
N-demethyl erythromycin_site7,121
4-hydroxy-trimethoprim _site8,122
Prulifloxacin_site6,123
N-desmethyl clarithromycin _site9,124
D-cycloserine_site5,125
Sarafloxacin_site6,126
Capreomycin IA_site2,127
Capreomycin IB_site6,128
Clarithromycin_site7,129
Acetyl-isoniazid _site7,130
N-demethyl erythromycin_site1,131
Gatifloxacin_site9,132
D-cycloserine_site9,133
Flucloxacillin_site4,134
Rifabutin_site9,135
Penicilloic G acid_site5,136
Ciprofloxacin_site6,137
Ciprofloxacin_site7,138
Flumequine_site7,139
Trimethoprim_site4,140
Doxycycline _site9,141
Gatifloxacin_site7,142
Isonicotinic acid_site8,143
Danofloxacin_site9,144
Desethylene ciprofloxacin_site5,145
Gentamycin C2 C2a C2b_site9,146
Capreomycin IA_site9,147
Nitrofurantoin_site7,148
Lomefloxacin_site3,149
Doxycycline _site5,150
Ceftriaxone_site4,151
Sulfamethoxazole_site7,152
Penicilloic G acid_site3,153
N-acetyl sulfamethoxazole _site1,154
Hydroxy-norfloxacin _site2,155
Ofloxacin N-oxide_site4,156
Desethylene ciprofloxacin_site9,157
Meropenem_site9,158
Aztreonam_site3,159
Bedaquiline_site7,160
Azithromycin_site8,161
Sulfasalazine_site3,162
Sarafloxacin_site7,163
Acetyl-isoniazid _site3,164
Ampicillin_site7,165
Oxytetracycline_site8,166
Amoxicillin_site7,167
Enrofloxacin_site1,168
Gatifloxacin_site1,169
Flumequine_site6,170
Gentamycin C1_site5,171
Lomefloxacin_site8,172
Delamanid_site8,173
Desmethyl-ofloxacin _site9,174
Flucloxacillin_site9,175
Lamivudine_site6,176
Bedaquiline_site5,177
Deacetyl-ketoconazole _site3,178
Gentamycin C1_site9,179
Lomefloxacin_site2,180
Nadifloxacin_site5,181
N-acetyl sulfapyridine _site9,182
Metronidazole_site6,183
Gentamycin C1_site6,184
Azithromycin_site2,185
Sarafloxacin_site9,186
Danofloxacin_site6,187
Trimethoprim_site1,188
Tetracycline_site7,189
25-O-desacetyl rifabutin _site2,190
Azithromycin_site3,191
Desmethyl-ofloxacin _site1,192
Delamanid_site7,193
Oxytetracycline_site4,194
Ulifloxacin_site7,195
Gentamycin C1a_site4,196
N-acetyl sulfapyridine _site5,197
Desethylene ciprofloxacin_site6,198
Ethambutol_site5,199
Streptomycin A_site2,200
Kanamycin A_site1,201
N-desmethyl clindamycin _site9,202
Norfloxacin_site2,203
Desmethyl-ofloxacin _site7,204
Nitrofurantoin_site3,205
Sarafloxacin_site4,206
Cefixime_site2,207
Nadifloxacin_site6,208
Gentamycin C1_site2,209
Penicillin V_site5,210
Emtricitabine_site8,211
Chloramphenicol_site8,212
Pyrazinamide_site9,213
Clindamycin_site7,214
Linezolid_site1,215
Doxycycline _site7,216
Penicillin V_site7,217
4-hydroxy-trimethoprim _site2,218
N-acetyl sulfapyridine _site6,219
Flumequine_site3,220
N-acetyl sulfamethoxazole _site3,221
Oxytetracycline_site5,222
Linezolid_site9,223
D-cycloserine_site3,224
Sarafloxacin_site2,225
N-acetyl sulfadiazine _site2,226
Hydroxy-norfloxacin _site6,227
Rifampicin_site7,228
Gentamycin C2 C2a C2b_site7,229
Deacetyl-ketoconazole _site4,230
Ketoconazole_site2,231
Prulifloxacin_site7,232
Doxycycline _site6,233
Amoxicilloic acid_site9,234
Isoniazid_site6,235
Ciprofloxacin_site4,236
Chloramphenicol_site3,237
Isonicotinic acid_site7,238
Penicillin V_site3,239
Rifabutin_site1,240
Deacetyl-ketoconazole _site8,241
Hydroxy-norfloxacin _site8,242
Bedaquiline_site3,243
Ketoconazole_site9,244
Emtricitabine_site4,245
Emtricitabine_site2,246
Kanamycin A_site2,247
Aztreonam_site5,248
Gentamycin C1a_site9,249
Flumequine_site5,250
Prulifloxacin_site3,251
Amoxicilloic acid_site7,252
Aztreonam_site2,253
Ofloxacin N-oxide_site5,254
Flucloxacillin_site6,255
Desmethyl-ofloxacin _site4,256
N-acetyl sulfapyridine _site7,257
Lomefloxacin_site6,258
Cefalexin_site4,259
Ofloxacin N-oxide_site9,260
Hydroxy-norfloxacin _site9,261
Ethambutol_site2,262
25-O-desacetyl rifabutin _site4,263
Danofloxacin_site3,264
Ethambutol_site1,265
Ceftiofur_site1,266
Cefixime_site6,267
Gatifloxacin_site3,268
Penicilloic G acid_site2,269
Delamanid_site6,270
Chloramphenicol_site6,271
N-desmethyl clindamycin _site7,272
N-demethyl erythromycin_site6,273
25-desacetyl rifampicin _site5,274
Nalidixic acid_site5,275
Doxycycline _site4,276
Streptomycin A_site6,277
N-demethyl erythromycin_site3,278
Metronidazole_site1,279
Flucloxacillin_site5,280
4-hydroxy-trimethoprim _site5,281
N-acetyl sulfadiazine _site6,282
Streptomycin A_site3,283
Emtricitabine_site1,284
Kanamycin A_site4,285
Besifloxacin_site7,286
25-O-desacetyl rifabutin _site9,287
Streptomycin A_site8,288
Ulifloxacin_site6,289
N-acetyl sulfapyridine _site8,290
Gentamycin C1_site8,291
N-desmethyl azithromycin _site9,292
Moxifloxacin_site5,293
Ketoconazole_site7,294
Sulfadiazine_site7,295
Penicillin V_site1,296
Pyrazinamide_site2,297
Sulfamethoxazole_site4,298
Desethylene ciprofloxacin_site3,299
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site7",300
Ampicilloic acid_site4,301
Capreomycin IB_site4,302
Ampicillin_site2,303
Erythromycin_site3,304
Chloramphenicol_site2,305
Capreomycin IA_site7,306
Norfloxacin_site4,307
Prulifloxacin_site1,308
Trimethoprim_site6,309
Cefixime_site4,310
Ceftiofur_site4,311
Ofloxacin N-oxide_site6,312
Meropenem_site2,313
N-desmethyl azithromycin _site6,314
N-demethyl erythromycin_site4,315
Penicillin G_site1,316
Nadifloxacin_site4,317
Ulifloxacin_site4,318
Gentamycin C2 C2a C2b_site5,319
Gentamycin C1a_site2,320
Isonicotinic acid_site3,321
Penicillin G_site7,322
Flucloxacillin_site1,323
Penicillin G_site8,324
Ciprofloxacin_site2,325
Ciprofloxacin_site5,326
Rifampicin_site3,327
4-hydroxy-trimethoprim _site1,328
Norfloxacin_site6,329
Kanamycin A_site3,330
Pyrazinamide_site4,331
Nadifloxacin_site2,332
N-acetyl sulfamethoxazole _site4,333
Ampicilloic acid_site9,334
Sulfadiazine_site8,335
Penicillin V_site8,336
Ketoconazole_site6,337
N-desmethyl clindamycin _site5,338
Rifampicin_site4,339
Ulifloxacin_site1,340
Hydroxy-norfloxacin _site1,341
Enrofloxacin_site3,342
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site7",343
Nalidixic acid_site3,344
Moxifloxacin_site6,345
Gentamycin C1a_site6,346
Kanamycin A_site6,347
Streptomycin A_site5,348
Ceftiofur_site7,349
Nadifloxacin_site3,350
Sulfasalazine_site2,351
Ofloxacin (Levofloxacin)_site3,352
Sulfapyridine_site6,353
Desethylene ciprofloxacin_site8,354
Sulfadiazine_site4,355
Clindamycin_site1,356
Rifampicin_site2,357
Clindamycin_site5,358
Sulfapyridine_site3,359
Erythromycin_site4,360
Ceftriaxone_site2,361
Florfenicol_site6,362
Hydroxy-norfloxacin _site7,363
Linezolid_site4,364
Meropenem_site8,365
Nadifloxacin_site7,366
Penicillin G_site3,367
Erythromycin_site5,368
Isoniazid_site7,369
Pyrazinamide_site5,370
Tetracycline_site3,371
Ceftriaxone_site8,372
25-desacetyl rifampicin _site9,373
Penicilloic G acid_site6,374
Ethambutol_site6,375
Clindamycin_site4,376
Gatifloxacin_site8,377
