Features,Ranking
Lamivudine_site9,1
Gentamycin C2 C2a C2b_site2,2
Ofloxacin N-oxide_site5,3
N-demethyl erythromycin_site1,4
Prulifloxacin_site4,5
Trimethoprim_site2,6
Hydroxy-metronidazole _site6,7
Sulfadiazine_site9,8
Ceftriaxone_site6,9
N-acetyl sulfadiazine _site3,10
Ethambutol_site2,11
Gentamycin C1a_site3,12
Streptomycin A_site7,13
Cefalexin_site8,14
N-desmethyl clarithromycin _site2,15
Norfloxacin_site7,16
Sulfamethoxazole_site6,17
Emtricitabine_site2,18
Thalidomide_site4,19
Lamivudine_site4,20
4-hydroxy-trimethoprim _site2,21
25-O-desacetyl rifabutin _site7,22
Amoxicillin_site4,23
Streptomycin A_site2,24
N-demethyl erythromycin_site5,25
Rifampicin_site9,26
Cefixime_site2,27
Florfenicol_site8,28
Amoxicilloic acid_site5,29
Ampicilloic acid_site3,30
Gentamycin C1a_site5,31
4-hydroxy-trimethoprim _site9,32
Cefixime_site9,33
Capreomycin IA_site6,34
Prulifloxacin_site2,35
Gentamycin C1a_site8,36
Thalidomide_site9,37
Imipenem_site8,38
Desmethyl-ofloxacin _site6,39
Nadifloxacin_site1,40
Thalidomide_site7,41
Acetyl-isoniazid _site1,42
Desmethyl-ofloxacin _site8,43
Lamivudine_site8,44
N-desmethyl clarithromycin _site6,45
Cefixime_site7,46
N-acetyl sulfadiazine _site8,47
Delamanid_site7,48
Doxycycline _site5,49
Ceftiofur_site5,50
25-O-desacetyl rifabutin _site5,51
Sulfadiazine_site5,52
Desmethyl-ofloxacin _site7,53
Metronidazole_site5,54
N-desmethyl clindamycin _site6,55
Cefalexin_site7,56
Linezolid_site9,57
Sulfamethoxazole_site1,58
Rifampicin_site5,59
Thalidomide_site3,60
Gentamycin C1_site2,61
Delamanid_site9,62
Flucloxacillin_site4,63
Sulfapyridine_site5,64
Ceftriaxone_site4,65
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site1",66
Norfloxacin_site8,67
Thalidomide_site6,68
Thalidomide_site8,69
Aztreonam_site4,70
Hydroxy-metronidazole _site4,71
Isonicotinic acid_site7,72
25-desacetyl rifampicin _site6,73
Bedaquiline_site5,74
Pyrazinamide_site9,75
Gentamycin C2 C2a C2b_site9,76
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site8",77
Cefalexin_site3,78
Rifabutin_site3,79
Hydroxy-metronidazole _site9,80
Ceftiofur_site2,81
4-hydroxy-trimethoprim _site7,82
Oxytetracycline_site5,83
Emtricitabine_site9,84
Hydroxy-metronidazole _site5,85
Delamanid_site5,86
N-acetyl sulfapyridine _site2,87
Hydroxy-norfloxacin _site9,88
Ampicillin_site6,89
Ampicilloic acid_site9,90
Flumequine_site6,91
N-desmethyl azithromycin _site8,92
Ofloxacin (Levofloxacin)_site8,93
Sarafloxacin_site7,94
Azithromycin_site9,95
Lamivudine_site5,96
Sarafloxacin_site3,97
Prulifloxacin_site6,98
Penicilloic G acid_site5,99
