Features,Ranking
Ciprofloxacin_site6,1
Hydroxy-norfloxacin _site9,2
Sulfamethoxazole_site6,3
N-acetyl sulfapyridine _site6,4
N-desmethyl clarithromycin _site2,5
5-Hydroxy-pyrazinoic acid _site7,6
Kanamycin A_site4,7
Desmethyl-ofloxacin _site8,8
Desethylene ciprofloxacin_site7,9
Penicilloic G acid_site3,10
Doxycycline _site5,11
Doxycycline _site6,12
N-demethyl erythromycin_site5,13
Bedaquiline_site7,14
Metronidazole_site4,15
N-demethyl erythromycin_site6,16
Florfenicol_site7,17
Amoxicilloic acid_site4,18
Penicillin V_site3,19
N-demethyl erythromycin_site1,20
Flumequine_site5,21
Amoxicilloic acid_site9,22
Azithromycin_site2,23
Acetyl-isoniazid _site6,24
Erythromycin_site9,25
Ofloxacin (Levofloxacin)_site6,26
Capreomycin IA_site9,27
Enrofloxacin_site7,28
Trimethoprim_site5,29
Sulfamethoxazole_site5,30
Lamivudine_site5,31
Ceftriaxone_site5,32
25-desacetyl rifampicin _site7,33
Florfenicol_site3,34
Emtricitabine_site3,35
Rifabutin_site9,36
Meropenem_site9,37
Hydroxy-metronidazole _site6,38
Flucloxacillin_site8,39
Tetracycline_site7,40
Danofloxacin_site9,41
Oxytetracycline_site8,42
Clindamycin_site6,43
Trimethoprim_site4,44
N-desmethyl clarithromycin _site6,45
Gentamycin C2 C2a C2b_site4,46
Deacetyl-ketoconazole _site7,47
Flumequine_site4,48
4-hydroxy-trimethoprim _site5,49
Cefixime_site2,50
Capreomycin IB_site4,51
N-acetyl sulfamethoxazole _site6,52
N-acetyl sulfamethoxazole _site4,53
Capreomycin IB_site1,54
Gentamycin C2 C2a C2b_site9,55
Sulfapyridine_site5,56
Penicillin G_site2,57
Enrofloxacin_site5,58
Azithromycin_site8,59
N-acetyl sulfadiazine _site6,60
Metronidazole_site6,61
Delamanid_site8,62
Sulfamethoxazole_site4,63
D-cycloserine_site9,64
Imipenem_site7,65
Rifabutin_site2,66
5-Hydroxy-pyrazinoic acid _site9,67
Lamivudine_site4,68
Hydroxy-norfloxacin _site6,69
Sulfamethoxazole_site7,70
Erythromycin_site5,71
Azithromycin_site3,72
Chloramphenicol_site9,73
Gentamycin C1a_site4,74
Ulifloxacin_site4,75
Desethylene ciprofloxacin_site2,76
25-O-desacetyl rifabutin _site4,77
Hydroxy-metronidazole _site7,78
D-cycloserine_site5,79
Erythromycin_site3,80
Gentamycin C1_site9,81
Amoxicilloic acid_site6,82
Ethambutol_site5,83
Gatifloxacin_site7,84
Amoxicillin_site9,85
Ofloxacin (Levofloxacin)_site7,86
Erythromycin_site6,87
Deacetyl-ketoconazole _site4,88
Penicillin V_site6,89
Norfloxacin_site5,90
N-desmethyl azithromycin _site9,91
Penicilloic G acid_site5,92
Prulifloxacin_site5,93
Oxytetracycline_site3,94
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site6",95
Tetracycline_site4,96
Sulfapyridine_site7,97
Sarafloxacin_site5,98
Ethambutol_site8,99
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site4",100
Sulfasalazine_site4,101
25-O-desacetyl rifabutin _site9,102
Linezolid_site5,103
Oxytetracycline_site2,104
Nalidixic acid_site8,105
Cefixime_site7,106
Amoxicillin_site6,107
Thalidomide_site5,108
Nitrofurantoin_site2,109
Oxytetracycline_site9,110
Ketoconazole_site7,111
Rifabutin_site6,112
Ofloxacin N-oxide_site8,113
Desethylene ciprofloxacin_site5,114
Tetracycline_site8,115
Nitrofurantoin_site7,116
Ofloxacin N-oxide_site6,117
Penicillin G_site3,118
Chloramphenicol_site8,119
Bedaquiline_site2,120
Isonicotinic acid_site3,121
Gentamycin C2 C2a C2b_site2,122
Nitrofurantoin_site5,123
Sarafloxacin_site8,124
Prulifloxacin_site2,125
Ofloxacin N-oxide_site3,126
Desethylene ciprofloxacin_site3,127
Ketoconazole_site8,128
N-demethyl erythromycin_site7,129
Emtricitabine_site8,130
Moxifloxacin_site8,131
Deacetyl-ketoconazole _site5,132
Desmethyl-ofloxacin _site4,133
Oxytetracycline_site6,134
Rifampicin_site6,135
Ceftriaxone_site6,136
Isonicotinic acid_site8,137
D-cycloserine_site4,138
Danofloxacin_site4,139
N-desmethyl azithromycin _site4,140
Ceftriaxone_site2,141
Danofloxacin_site7,142
Gentamycin C1a_site3,143
Capreomycin IB_site7,144
Penicillin V_site2,145
Azithromycin_site7,146
Kanamycin A_site5,147
Amoxicillin_site7,148
Ofloxacin N-oxide_site4,149
Gentamycin C1a_site7,150
Ceftriaxone_site8,151
Erythromycin_site7,152
Gatifloxacin_site2,153
Moxifloxacin_site7,154
Emtricitabine_site7,155
Lamivudine_site8,156
Meropenem_site4,157
Moxifloxacin_site3,158
Ethambutol_site2,159
Moxifloxacin_site9,160
Delamanid_site4,161
Sulfasalazine_site3,162
25-desacetyl rifampicin _site9,163
Lomefloxacin_site8,164
Aztreonam_site9,165
Linezolid_site3,166
Aztreonam_site7,167
Aztreonam_site8,168
Amoxicilloic acid_site8,169
Moxifloxacin_site4,170
D-cycloserine_site3,171
Ciprofloxacin_site2,172
Ceftiofur_site7,173
Ceftiofur_site8,174
Chloramphenicol_site3,175
Acetyl-isoniazid _site5,176
Clarithromycin_site3,177
Gatifloxacin_site5,178
Norfloxacin_site2,179
Penicillin V_site7,180
Tetracycline_site2,181
Deacetyl-ketoconazole _site3,182
Ketoconazole_site4,183
Lomefloxacin_site5,184
Sulfasalazine_site2,185
Doxycycline _site4,186
Capreomycin IB_site5,187
Ampicillin_site7,188
Streptomycin A_site7,189
Clarithromycin_site6,190
Trimethoprim_site2,191
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site9",192
Moxifloxacin_site6,193
Ofloxacin N-oxide_site2,194
4-hydroxy-trimethoprim _site4,195
Emtricitabine_site5,196
25-O-desacetyl rifabutin _site8,197
Ceftriaxone_site4,198
Azithromycin_site4,199
Ceftriaxone_site9,200
Ofloxacin (Levofloxacin)_site5,201
Capreomycin IA_site4,202
Ofloxacin N-oxide_site9,203
Linezolid_site8,204
Desmethyl-ofloxacin _site3,205
Capreomycin IA_site8,206
Besifloxacin_site1,207
N-demethyl erythromycin_site3,208
Florfenicol_site5,209
Moxifloxacin_site1,210
Desethylene ciprofloxacin_site4,211
Cefixime_site6,212
Ampicillin_site3,213
Metronidazole_site8,214
Capreomycin IB_site8,215
Ulifloxacin_site7,216
Nitrofurantoin_site9,217
Clindamycin_site3,218
N-acetyl sulfapyridine _site9,219
Capreomycin IA_site5,220
Imipenem_site3,221
N-demethyl erythromycin_site4,222
Besifloxacin_site3,223
Imipenem_site5,224
Deacetyl-ketoconazole _site6,225
Capreomycin IA_site3,226
Streptomycin A_site3,227
25-O-desacetyl rifabutin _site2,228
Azithromycin_site9,229
Ketoconazole_site1,230
Amoxicilloic acid_site2,231
Flucloxacillin_site1,232
Gatifloxacin_site6,233
Capreomycin IB_site3,234
Sulfamethoxazole_site8,235
Oxytetracycline_site4,236
Isoniazid_site6,237
Desmethyl-ofloxacin _site5,238
Doxycycline _site8,239
Bedaquiline_site4,240
N-desmethyl clindamycin _site5,241
N-acetyl sulfapyridine _site7,242
N-desmethyl clarithromycin _site9,243
Sulfasalazine_site7,244
N-acetyl sulfapyridine _site5,245
Rifabutin_site5,246
Hydroxy-metronidazole _site8,247
Desmethyl-ofloxacin _site1,248
Isoniazid_site2,249
Besifloxacin_site2,250
Streptomycin A_site4,251
N-acetyl sulfamethoxazole _site7,252
Cefalexin_site8,253
Sulfamethoxazole_site9,254
Gatifloxacin_site8,255
Tetracycline_site9,256
Ketoconazole_site5,257
Desethylene ciprofloxacin_site8,258
Ofloxacin (Levofloxacin)_site1,259
N-demethyl erythromycin_site2,260
Flumequine_site8,261
Danofloxacin_site6,262
Amoxicillin_site2,263
Norfloxacin_site4,264
Ciprofloxacin_site4,265
Imipenem_site6,266
4-hydroxy-trimethoprim _site2,267
Metronidazole_site7,268
Penicillin G_site1,269
Lamivudine_site2,270
Ciprofloxacin_site1,271
Sarafloxacin_site3,272
Hydroxy-metronidazole _site4,273
Isoniazid_site8,274
Besifloxacin_site8,275
Cefixime_site9,276
Ethambutol_site9,277
Kanamycin A_site3,278
Desmethyl-ofloxacin _site9,279
Rifampicin_site4,280
Chloramphenicol_site1,281
Clarithromycin_site1,282
Clindamycin_site4,283
N-acetyl sulfamethoxazole _site5,284
Penicillin V_site4,285
Imipenem_site4,286
Tetracycline_site3,287
Streptomycin A_site6,288
Norfloxacin_site8,289
Desmethyl-ofloxacin _site6,290
25-desacetyl rifampicin _site5,291
N-acetyl sulfamethoxazole _site9,292
25-desacetyl rifampicin _site1,293
Sulfamethoxazole_site1,294
Flucloxacillin_site3,295
Ofloxacin (Levofloxacin)_site4,296
Imipenem_site2,297
Norfloxacin_site1,298
Azithromycin_site1,299
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site8",300
Kanamycin A_site1,301
Desethylene ciprofloxacin_site1,302
Flucloxacillin_site5,303
4-hydroxy-trimethoprim _site6,304
N-desmethyl clindamycin _site9,305
Sulfamethoxazole_site3,306
Florfenicol_site2,307
Sulfasalazine_site8,308
Enrofloxacin_site8,309
25-desacetyl rifampicin _site2,310
Ulifloxacin_site6,311
Rifabutin_site1,312
Ulifloxacin_site3,313
Besifloxacin_site5,314
Lomefloxacin_site4,315
Ampicillin_site5,316
Ofloxacin (Levofloxacin)_site3,317
N-acetyl sulfapyridine _site4,318
Isoniazid_site4,319
Sulfamethoxazole_site2,320
Danofloxacin_site5,321
Gatifloxacin_site1,322
Kanamycin A_site9,323
Cefalexin_site7,324
Rifampicin_site2,325
Isoniazid_site1,326
Trimethoprim_site9,327
Florfenicol_site9,328
N-desmethyl clarithromycin _site8,329
Prulifloxacin_site9,330
Flucloxacillin_site2,331
Chloramphenicol_site4,332
Nalidixic acid_site2,333
Sulfasalazine_site9,334
Chloramphenicol_site7,335
Lomefloxacin_site2,336
Ciprofloxacin_site5,337
N-acetyl sulfamethoxazole _site2,338
Penicillin G_site6,339
Oxytetracycline_site7,340
N-desmethyl clindamycin _site3,341
Rifampicin_site7,342
Ofloxacin (Levofloxacin)_site9,343
Sulfapyridine_site2,344
Acetyl-isoniazid _site9,345
Clindamycin_site8,346
Gatifloxacin_site4,347
Hydroxy-norfloxacin _site3,348
Ciprofloxacin_site3,349
Isoniazid_site3,350
Lomefloxacin_site1,351
Delamanid_site3,352
Gentamycin C1_site6,353
N-desmethyl clindamycin _site8,354
Norfloxacin_site9,355
Cefalexin_site5,356
Doxycycline _site3,357
Penicillin V_site5,358
Ofloxacin (Levofloxacin)_site2,359
Cefixime_site8,360
Prulifloxacin_site8,361
Ulifloxacin_site9,362
Enrofloxacin_site1,363
25-desacetyl rifampicin _site3,364
Gentamycin C2 C2a C2b_site3,365
Cefixime_site3,366
Lomefloxacin_site6,367
Isoniazid_site5,368
Nalidixic acid_site4,369
N-demethyl erythromycin_site8,370
Tetracycline_site5,371
Thalidomide_site2,372
5-Hydroxy-pyrazinoic acid _site8,373
Gentamycin C2 C2a C2b_site6,374
N-desmethyl azithromycin _site2,375
Nadifloxacin_site1,376
Gentamycin C2 C2a C2b_site8,377
N-desmethyl clindamycin _site1,378
Imipenem_site9,379
Flumequine_site1,380
Doxycycline _site1,381
Gentamycin C1a_site8,382
Amoxicilloic acid_site3,383
Ampicillin_site8,384
Ampicillin_site9,385
Oxytetracycline_site1,386
Sarafloxacin_site1,387
Nitrofurantoin_site4,388
Clindamycin_site1,389
Erythromycin_site8,390
Sarafloxacin_site2,391
Chloramphenicol_site5,392
Deacetyl-ketoconazole _site1,393
N-acetyl sulfamethoxazole _site8,394
Hydroxy-norfloxacin _site4,395
Cefixime_site5,396
Besifloxacin_site4,397
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site5",398
Nadifloxacin_site8,399
N-demethyl erythromycin_site9,400
Deacetyl-ketoconazole _site2,401
D-cycloserine_site7,402
N-desmethyl azithromycin _site5,403
N-acetyl sulfapyridine _site2,404
Danofloxacin_site1,405
Doxycycline _site2,406
Azithromycin_site5,407
Capreomycin IB_site2,408
N-acetyl sulfapyridine _site8,409
Trimethoprim_site8,410
