Features,Ranking
Ethambutol_site3,1
4-hydroxy-trimethoprim _site8,2
N-demethyl erythromycin_site1,3
Trimethoprim_site2,4
Gatifloxacin_site2,5
N-demethyl erythromycin_site5,6
Sarafloxacin_site7,7
Flumequine_site4,8
Lomefloxacin_site7,9
Capreomycin IA_site6,10
N-desmethyl clarithromycin _site6,11
Norfloxacin_site3,12
Cefixime_site9,13
Rifabutin_site5,14
Amoxicillin_site7,15
Ethambutol_site6,16
Amoxicillin_site8,17
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site5",18
Florfenicol_site7,19
Deacetyl-ketoconazole _site9,20
5-Hydroxy-pyrazinoic acid _site8,21
4-hydroxy-trimethoprim _site2,22
Nitrofurantoin_site8,23
Sulfasalazine_site5,24
Ulifloxacin_site4,25
Nitrofurantoin_site6,26
Ethambutol_site7,27
Doxycycline _site7,28
4-hydroxy-trimethoprim _site6,29
Linezolid_site6,30
N-desmethyl clarithromycin _site2,31
Danofloxacin_site6,32
Ceftiofur_site6,33
Doxycycline _site4,34
Pyrazinamide_site5,35
Enrofloxacin_site7,36
Danofloxacin_site7,37
Oxytetracycline_site3,38
Amoxicillin_site5,39
Prulifloxacin_site5,40
4-hydroxy-trimethoprim _site9,41
Lamivudine_site5,42
5-Hydroxy-pyrazinoic acid _site9,43
Bedaquiline_site7,44
25-O-desacetyl rifabutin _site4,45
Acetyl-isoniazid _site9,46
Sarafloxacin_site8,47
Nitrofurantoin_site3,48
Flucloxacillin_site7,49
Norfloxacin_site4,50
Aztreonam_site7,51
Oxytetracycline_site2,52
Sulfamethoxazole_site6,53
Gentamycin C1a_site7,54
Clindamycin_site7,55
Emtricitabine_site6,56
Amoxicilloic acid_site7,57
Linezolid_site2,58
Emtricitabine_site2,59
Acetyl-isoniazid _site3,60
Ofloxacin (Levofloxacin)_site6,61
Linezolid_site5,62
Erythromycin_site9,63
Isonicotinic acid_site3,64
Desethylene ciprofloxacin_site7,65
Gentamycin C2 C2a C2b_site4,66
Ethambutol_site8,67
Moxifloxacin_site4,68
Nitrofurantoin_site2,69
Hydroxy-metronidazole _site6,70
Ofloxacin N-oxide_site6,71
Sulfadiazine_site9,72
25-O-desacetyl rifabutin _site9,73
Meropenem_site9,74
Ethambutol_site5,75
Linezolid_site3,76
Hydroxy-norfloxacin _site9,77
Nitrofurantoin_site7,78
Moxifloxacin_site7,79
Gentamycin C1a_site4,80
Rifampicin_site6,81
4-hydroxy-trimethoprim _site3,82
Meropenem_site6,83
