Features,Ranking
Nalidixic acid_site4,1
Florfenicol_site7,2
Lamivudine_site5,3
Ethambutol_site3,4
Ethambutol_site8,5
N-demethyl erythromycin_site1,6
N-desmethyl clarithromycin _site6,7
Streptomycin A_site4,8
Clindamycin_site7,9
Lamivudine_site9,10
Emtricitabine_site7,11
Rifabutin_site3,12
4-hydroxy-trimethoprim _site6,13
Streptomycin A_site9,14
25-desacetyl rifampicin _site7,15
Rifampicin_site6,16
Linezolid_site6,17
Kanamycin A_site3,18
Enrofloxacin_site3,19
Imipenem_site8,20
Ulifloxacin_site5,21
Flucloxacillin_site4,22
Acetyl-isoniazid _site1,23
Bedaquiline_site5,24
Ethambutol_site7,25
Ampicillin_site5,26
Penicillin V_site9,27
Ethambutol_site9,28
Enrofloxacin_site7,29
Emtricitabine_site6,30
Deacetyl-ketoconazole _site6,31
Sarafloxacin_site8,32
Doxycycline _site5,33
N-demethyl erythromycin_site5,34
25-O-desacetyl rifabutin _site3,35
Desmethyl-ofloxacin _site8,36
Flumequine_site3,37
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site1",38
25-desacetyl rifampicin _site4,39
Ulifloxacin_site4,40
Rifampicin_site5,41
Ethambutol_site4,42
Bedaquiline_site4,43
Ofloxacin (Levofloxacin)_site6,44
4-hydroxy-trimethoprim _site3,45
Isonicotinic acid_site3,46
Emtricitabine_site2,47
Prulifloxacin_site2,48
Tetracycline_site4,49
Deacetyl-ketoconazole _site9,50
Bedaquiline_site2,51
Ceftriaxone_site7,52
Nalidixic acid_site8,53
Capreomycin IA_site2,54
25-O-desacetyl rifabutin _site4,55
Metronidazole_site5,56
Hydroxy-norfloxacin _site5,57
Sulfapyridine_site7,58
Sulfasalazine_site3,59
Flumequine_site4,60
Sarafloxacin_site7,61
Sulfapyridine_site9,62
Hydroxy-norfloxacin _site6,63
Ulifloxacin_site7,64
Rifampicin_site7,65
25-desacetyl rifampicin _site6,66
Enrofloxacin_site9,67
Flumequine_site2,68
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site3",69
Tetracycline_site6,70
Rifampicin_site3,71
Doxycycline _site9,72
Penicillin V_site7,73
Aztreonam_site9,74
Acetyl-isoniazid _site2,75
Ampicillin_site3,76
Ofloxacin N-oxide_site2,77
Sulfasalazine_site6,78
Desethylene ciprofloxacin_site7,79
Linezolid_site1,80
Azithromycin_site6,81
Chloramphenicol_site8,82
Prulifloxacin_site4,83
N-desmethyl clindamycin _site9,84
Amoxicillin_site7,85
Ofloxacin N-oxide_site6,86
Ampicillin_site6,87
Lamivudine_site8,88
Meropenem_site5,89
Sulfapyridine_site4,90
Amoxicilloic acid_site7,91
Nalidixic acid_site7,92
Linezolid_site2,93
Desmethyl-ofloxacin _site2,94
25-O-desacetyl rifabutin _site2,95
Clindamycin_site9,96
Lomefloxacin_site7,97
Chloramphenicol_site3,98
Amoxicilloic acid_site3,99
Sarafloxacin_site5,100
Ethambutol_site6,101
Danofloxacin_site7,102
Gentamycin C1_site5,103
Desmethyl-ofloxacin _site6,104
Ceftiofur_site2,105
Aztreonam_site6,106
Desethylene ciprofloxacin_site6,107
Besifloxacin_site6,108
Amoxicillin_site2,109
Ampicillin_site7,110
Imipenem_site2,111
Delamanid_site6,112
Ciprofloxacin_site7,113
Nitrofurantoin_site7,114
Nadifloxacin_site6,115
Nitrofurantoin_site6,116
Cefalexin_site9,117
Pyrazinamide_site4,118
Lamivudine_site2,119
Pyrazinamide_site8,120
Lomefloxacin_site2,121
Aztreonam_site3,122
Imipenem_site9,123
Cefalexin_site3,124
Hydroxy-metronidazole _site9,125
Amoxicilloic acid_site2,126
Isonicotinic acid_site1,127
Emtricitabine_site9,128
Delamanid_site5,129
N-desmethyl azithromycin _site8,130
Enrofloxacin_site2,131
N-desmethyl clarithromycin _site7,132
N-demethyl erythromycin_site2,133
Gentamycin C2 C2a C2b_site9,134
Ampicillin_site8,135
Acetyl-isoniazid _site8,136
N-acetyl sulfamethoxazole _site8,137
Cefalexin_site2,138
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site2",139
