Features,Ranking
Streptomycin A_site7,1
Sulfadiazine_site9,2
Trimethoprim_site2,3
Bedaquiline_site5,4
Flumequine_site4,5
Bedaquiline_site7,6
N-demethyl erythromycin_site1,7
N-acetyl sulfadiazine _site3,8
Emtricitabine_site2,9
N-desmethyl clarithromycin _site6,10
Capreomycin IA_site6,11
N-desmethyl clarithromycin _site2,12
N-demethyl erythromycin_site5,13
Florfenicol_site7,14
Amoxicillin_site8,15
Cefixime_site9,16
Gentamycin C1a_site3,17
Sulfasalazine_site5,18
Desethylene ciprofloxacin_site2,19
Aztreonam_site7,20
Acetyl-isoniazid _site1,21
Rifampicin_site9,22
Azithromycin_site9,23
Streptomycin A_site9,24
Sarafloxacin_site5,25
Oxytetracycline_site3,26
Sarafloxacin_site6,27
Hydroxy-norfloxacin _site8,28
Gentamycin C2 C2a C2b_site2,29
4-hydroxy-trimethoprim _site9,30
Lamivudine_site6,31
Hydroxy-norfloxacin _site9,32
Ofloxacin (Levofloxacin)_site8,33
Amoxicillin_site5,34
Sulfamethoxazole_site6,35
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site1",36
Erythromycin_site3,37
Gatifloxacin_site2,38
Nalidixic acid_site8,39
Rifampicin_site5,40
Prulifloxacin_site5,41
Amoxicillin_site6,42
Prulifloxacin_site4,43
Delamanid_site2,44
Ceftriaxone_site6,45
Ceftriaxone_site4,46
Kanamycin A_site4,47
Emtricitabine_site7,48
Lamivudine_site2,49
25-desacetyl rifampicin _site7,50
Erythromycin_site5,51
Ethambutol_site4,52
4-hydroxy-trimethoprim _site2,53
Pyrazinamide_site6,54
Nitrofurantoin_site8,55
Nitrofurantoin_site3,56
Ofloxacin N-oxide_site7,57
25-O-desacetyl rifabutin _site6,58
Kanamycin A_site3,59
Penicillin V_site2,60
Desmethyl-ofloxacin _site8,61
Aztreonam_site9,62
Gentamycin C1a_site7,63
Clarithromycin_site9,64
Gentamycin C1_site5,65
5-Hydroxy-pyrazinoic acid _site7,66
Enrofloxacin_site6,67
Desmethyl-ofloxacin _site6,68
Ofloxacin (Levofloxacin)_site6,69
N-desmethyl clarithromycin _site3,70
Isonicotinic acid_site9,71
Metronidazole_site6,72
Doxycycline _site5,73
Nitrofurantoin_site2,74
Gentamycin C1a_site5,75
Enrofloxacin_site3,76
Danofloxacin_site9,77
Ampicillin_site8,78
Ulifloxacin_site8,79
4-hydroxy-trimethoprim _site5,80
Gentamycin C1_site6,81
Ofloxacin N-oxide_site6,82
Penicilloic G acid_site5,83
Bedaquiline_site2,84
Isonicotinic acid_site2,85
Ampicillin_site4,86
N-acetyl sulfadiazine _site6,87
Ciprofloxacin_site2,88
Penicilloic G acid_site3,89
Prulifloxacin_site2,90
Ethambutol_site2,91
Ciprofloxacin_site8,92
Doxycycline _site4,93
Deacetyl-ketoconazole _site4,94
Erythromycin_site9,95
Desethylene ciprofloxacin_site4,96
Rifabutin_site5,97
Cefixime_site2,98
Bedaquiline_site4,99
Clarithromycin_site4,100
Ethambutol_site7,101
Tetracycline_site7,102
Amoxicillin_site4,103
25-O-desacetyl rifabutin _site9,104
Ceftiofur_site7,105
Amoxicilloic acid_site4,106
Flucloxacillin_site7,107
Lamivudine_site4,108
Erythromycin_site7,109
Amoxicilloic acid_site9,110
Ceftriaxone_site7,111
Sulfasalazine_site3,112
Hydroxy-metronidazole _site5,113
Cefixime_site7,114
N-acetyl sulfapyridine _site9,115
Deacetyl-ketoconazole _site7,116
Ketoconazole_site2,117
Thalidomide_site8,118
25-O-desacetyl rifabutin _site7,119
Acetyl-isoniazid _site2,120
Sarafloxacin_site3,121
Cefalexin_site6,122
Penicillin V_site7,123
Ceftiofur_site5,124
4-hydroxy-trimethoprim _site6,125
Isonicotinic acid_site5,126
Aztreonam_site6,127
Ciprofloxacin_site6,128
Deacetyl-ketoconazole _site5,129
Cefalexin_site7,130
Lomefloxacin_site7,131
Aztreonam_site4,132
Meropenem_site9,133
Imipenem_site4,134
Emtricitabine_site3,135
Hydroxy-metronidazole _site4,136
5-Hydroxy-pyrazinoic acid _site9,137
Nalidixic acid_site4,138
Amoxicilloic acid_site2,139
Penicillin V_site1,140
Nitrofurantoin_site6,141
Gentamycin C2 C2a C2b_site9,142
Oxytetracycline_site9,143
Rifabutin_site6,144
Norfloxacin_site4,145
Ceftiofur_site6,146
Isoniazid_site6,147
Pyrazinamide_site5,148
Capreomycin IB_site5,149
Nalidixic acid_site7,150
Meropenem_site6,151
Ethambutol_site9,152
Danofloxacin_site4,153
Ulifloxacin_site5,154
Oxytetracycline_site6,155
Moxifloxacin_site4,156
Gatifloxacin_site7,157
Gentamycin C2 C2a C2b_site4,158
Clarithromycin_site7,159
25-desacetyl rifampicin _site4,160
Delamanid_site9,161
Linezolid_site8,162
Capreomycin IA_site9,163
N-acetyl sulfamethoxazole _site6,164
Cefixime_site6,165
Thalidomide_site3,166
Penicillin V_site8,167
Erythromycin_site6,168
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site7",169
Pyrazinamide_site4,170
Sulfapyridine_site5,171
N-acetyl sulfadiazine _site8,172
Ampicillin_site5,173
Ciprofloxacin_site4,174
Trimethoprim_site5,175
Chloramphenicol_site5,176
Ethambutol_site8,177
Ketoconazole_site3,178
Lamivudine_site7,179
Penicilloic G acid_site6,180
Bedaquiline_site3,181
Amoxicillin_site2,182
Flumequine_site7,183
Linezolid_site5,184
Emtricitabine_site1,185
Prulifloxacin_site6,186
Sulfasalazine_site7,187
Flumequine_site9,188
Rifampicin_site7,189
Nitrofurantoin_site7,190
Metronidazole_site4,191
