Features,Ranking
5-Hydroxy-pyrazinoic acid _site7,1
Penicilloic G acid_site3,2
4-hydroxy-trimethoprim _site4,3
Hydroxy-metronidazole _site6,4
Hydroxy-norfloxacin _site9,5
Cefixime_site2,6
Meropenem_site9,7
Sarafloxacin_site5,8
Amoxicilloic acid_site4,9
Danofloxacin_site9,10
Deacetyl-ketoconazole _site7,11
Emtricitabine_site4,12
N-demethyl erythromycin_site5,13
N-desmethyl clarithromycin _site6,14
Linezolid_site5,15
Chloramphenicol_site8,16
Gentamycin C2 C2a C2b_site4,17
Nitrofurantoin_site5,18
5-Hydroxy-pyrazinoic acid _site9,19
Ofloxacin (Levofloxacin)_site8,20
Delamanid_site2,21
Ulifloxacin_site5,22
Kanamycin A_site3,23
Ceftriaxone_site4,24
N-desmethyl clarithromycin _site2,25
25-desacetyl rifampicin _site4,26
Oxytetracycline_site3,27
Gentamycin C1a_site4,28
Gentamycin C1_site9,29
Sulfasalazine_site4,30
Prulifloxacin_site4,31
Penicilloic G acid_site5,32
Nitrofurantoin_site7,33
Desmethyl-ofloxacin _site6,34
Trimethoprim_site2,35
Lamivudine_site4,36
Ceftiofur_site2,37
Amoxicillin_site8,38
Rifampicin_site9,39
Amoxicilloic acid_site9,40
4-hydroxy-trimethoprim _site2,41
Gentamycin C2 C2a C2b_site9,42
Amoxicillin_site7,43
Ethambutol_site2,44
N-acetyl sulfadiazine _site6,45
Acetyl-isoniazid _site7,46
Lomefloxacin_site9,47
Emtricitabine_site2,48
Flumequine_site5,49
Cefalexin_site7,50
Ceftriaxone_site5,51
Prulifloxacin_site5,52
Desmethyl-ofloxacin _site8,53
Danofloxacin_site7,54
Metronidazole_site7,55
N-acetyl sulfamethoxazole _site7,56
Danofloxacin_site6,57
Acetyl-isoniazid _site4,58
Tetracycline_site4,59
Penicillin V_site7,60
Streptomycin A_site7,61
Aztreonam_site9,62
Sulfadiazine_site9,63
Moxifloxacin_site7,64
Desethylene ciprofloxacin_site2,65
Ampicillin_site7,66
Oxytetracycline_site6,67
Emtricitabine_site5,68
Ofloxacin N-oxide_site3,69
Gentamycin C1a_site7,70
Sulfapyridine_site5,71
Gentamycin C1a_site3,72
Cefixime_site6,73
Rifampicin_site7,74
Lamivudine_site6,75
Gentamycin C1_site6,76
Gentamycin C2 C2a C2b_site2,77
Capreomycin IA_site9,78
Ofloxacin (Levofloxacin)_site6,79
Linezolid_site6,80
N-acetyl sulfadiazine _site3,81
Ampicillin_site4,82
Bedaquiline_site4,83
Ceftriaxone_site6,84
Oxytetracycline_site2,85
Meropenem_site6,86
Ofloxacin N-oxide_site8,87
Gentamycin C1_site5,88
Aztreonam_site7,89
Ethambutol_site5,90
5-Hydroxy-pyrazinoic acid _site8,91
Acetyl-isoniazid _site1,92
Imipenem_site8,93
Isonicotinic acid_site9,94
Tetracycline_site7,95
Streptomycin A_site9,96
4-hydroxy-trimethoprim _site9,97
Isonicotinic acid_site5,98
Ceftriaxone_site7,99
Gatifloxacin_site2,100
N-desmethyl clarithromycin _site8,101
Nitrofurantoin_site2,102
Ethambutol_site6,103
Prulifloxacin_site2,104
Metronidazole_site6,105
Capreomycin IA_site6,106
Ofloxacin N-oxide_site5,107
4-hydroxy-trimethoprim _site8,108
Isonicotinic acid_site4,109
Deacetyl-ketoconazole _site6,110
N-acetyl sulfamethoxazole _site6,111
4-hydroxy-trimethoprim _site5,112
Aztreonam_site4,113
Cefixime_site7,114
Nalidixic acid_site4,115
Delamanid_site9,116
Lamivudine_site2,117
Sarafloxacin_site6,118
Rifabutin_site5,119
Flucloxacillin_site7,120
Pyrazinamide_site8,121
Doxycycline _site5,122
Penicilloic G acid_site6,123
Florfenicol_site3,124
Aztreonam_site6,125
Erythromycin_site5,126
Penicillin V_site8,127
N-acetyl sulfapyridine _site6,128
Ampicillin_site5,129
Florfenicol_site8,130
Isoniazid_site1,131
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site7",132
Ciprofloxacin_site1,133
Pyrazinamide_site4,134
Ketoconazole_site6,135
Rifabutin_site9,136
Kanamycin A_site4,137
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site6",138
Nadifloxacin_site7,139
Sarafloxacin_site9,140
Meropenem_site8,141
25-O-desacetyl rifabutin _site7,142
Florfenicol_site6,143
Nitrofurantoin_site1,144
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site3",145
Streptomycin A_site4,146
Ciprofloxacin_site4,147
Erythromycin_site4,148
Linezolid_site4,149
Rifabutin_site4,150
Clindamycin_site5,151
Sulfapyridine_site6,152
Nadifloxacin_site3,153
Acetyl-isoniazid _site3,154
Doxycycline _site6,155
Gentamycin C1a_site6,156
Sulfasalazine_site8,157
Ampicilloic acid_site3,158
Norfloxacin_site4,159
Nalidixic acid_site3,160
Nadifloxacin_site2,161
Ketoconazole_site9,162
Ampicillin_site2,163
Gatifloxacin_site7,164
Penicillin G_site8,165
Cefalexin_site4,166
Aztreonam_site5,167
Aztreonam_site2,168
Norfloxacin_site7,169
4-hydroxy-trimethoprim _site7,170
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site8",171
Penicillin G_site7,172
Desethylene ciprofloxacin_site3,173
Oxytetracycline_site9,174
Thalidomide_site7,175
Gentamycin C2 C2a C2b_site5,176
Rifabutin_site6,177
Nadifloxacin_site4,178
Erythromycin_site3,179
Tetracycline_site8,180
Isoniazid_site6,181
Metronidazole_site5,182
Gentamycin C1a_site2,183
N-desmethyl azithromycin _site6,184
Cefixime_site4,185
Penicilloic G acid_site4,186
N-acetyl sulfapyridine _site9,187
