0,Class A
Flucloxacillin (Site 4),Penicillin
Linezolid (Site 6),Oxazolidinone
N-desmethyl clarithromycin  (Site 6),Macrolide
Lamivudine (Site 2),NRTI
25-desacetyl rifampicin  (Site 4),Rifamycin
Linezolid (Site 2),Oxazolidinone
N-desmethyl clarithromycin  (Site 2),Macrolide
Delamanid (Site 2),Nitroimidazole
Emtricitabine (Site 2),NRTI
Ceftriaxone (Site 4),Cefalosporin
Ethambutol (Site 2),Ethambutol
N-acetyl sulfamethoxazole  (Site 6),Sulfonamide
Hydroxy-metronidazole  (Site 6),Azole
Nalidixic acid (Site 6),Quinolone
Flucloxacillin (Site 6),Penicillin
Chloramphenicol (Site 2),Amphenicol
Ceftiofur (Site 2),Cefalosporin
Nitrofurantoin (Site 6),Nitrofuran
Flumequine (Site 4),Quinolone
Danofloxacin (Site 6),Quinolone
Amoxicilloic acid (Site 6),Penicillin
Lamivudine (Site 4),NRTI
Kanamycin A (Site 4),Aminoglycoside
Isonicotinic acid (Site 4),Isoniazid
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione (Site 6)",Nitrofuran
