0,Class A
Desethylene ciprofloxacin (Site 2),Quinolone
Trimethoprim (Site 6),Trimethoprim
N-desmethyl clindamycin  (Site 6),Lincomycin
Doxycycline  (Site 6),Cycline
N-desmethyl clarithromycin  (Site 2),Macrolide
25-O-desacetyl rifabutin  (Site 6),Rifamycin
Hydroxy-metronidazole  (Site 6),Azole
Nalidixic acid (Site 4),Quinolone
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione (Site 4)",Nitrofuran
Gentamycin C1a (Site 4),Aminoglycoside
Danofloxacin (Site 4),Quinolone
Acetyl-isoniazid  (Site 4),Isoniazid
Norfloxacin (Site 2),Quinolone
Emtricitabine (Site 4),NRTI
Sulfasalazine (Site 2),Sulfonamides
Ceftriaxone (Site 4),Cefalosporin
Ketoconazole (Site 6),Azole
Acetyl-isoniazid  (Site 6),Isoniazid
Isonicotinic acid (Site 4),Isoniazid
Ceftiofur (Site 2),Cefalosporin
Rifabutin (Site 6),Rifamycin
Delamanid (Site 2),Nitroimidazole
Linezolid (Site 6),Oxazolidinone
Nalidixic acid (Site 6),Quinolone
Nitrofurantoin (Site 2),Nitrofuran
