0,Class A
Emtricitabine (Site 2),NRTI
Hydroxy-metronidazole  (Site 6),Azole
Ceftriaxone (Site 4),Cefalosporin
Emtricitabine (Site 4),NRTI
Ceftriaxone (Site 6),Cefalosporin
Lamivudine (Site 2),NRTI
4-hydroxy-trimethoprim  (Site 4),Trimethoprim
N-desmethyl clarithromycin  (Site 6),Macrolide
4-hydroxy-trimethoprim  (Site 2),Trimethoprim
Sulfamethoxazole (Site 6),Sulfonamide
Gatifloxacin (Site 2),Quinolone
Gentamycin C1 (Site 6),Aminoglycoside
25-O-desacetyl rifabutin  (Site 6),Rifamycin
Ethambutol (Site 2),Ethambutol
Nalidixic acid (Site 6),Quinolone
Prulifloxacin (Site 4),Quinolone
Linezolid (Site 6),Oxazolidinone
Ethambutol (Site 4),Ethambutol
Ceftiofur (Site 2),Cefalosporin
Delamanid (Site 2),Nitroimidazole
Ampicillin (Site 4),Penicillin
Cefixime (Site 2),Cefalosporin
Danofloxacin (Site 4),Quinolone
Flumequine (Site 4),Quinolone
Rifabutin (Site 6),Rifamycin
