0,Class A
Enrofloxacin (Site 4),Quinolone
Flumequine (Site 4),Quinolone
Trimethoprim (Site 2),Trimethoprim
Linezolid (Site 6),Oxazolidinone
N-desmethyl clarithromycin  (Site 2),Macrolide
N-desmethyl clarithromycin  (Site 6),Macrolide
Lamivudine (Site 4),NRTI
N-desmethyl clindamycin  (Site 6),Lincomycin
Chloramphenicol (Site 6),Amphenicol
Chloramphenicol (Site 2),Amphenicol
Penicilloic G acid (Site 2),Penicillin
Capreomycin IA (Site 6),Aminoglycoside
Penicillin G (Site 4),Penicillin
Kanamycin A (Site 6),Aminoglycoside
Acetyl-isoniazid  (Site 4),Isoniazid
Norfloxacin (Site 6),Quinolone
Amoxicilloic acid (Site 4),Penicillin
Ceftriaxone (Site 4),Cefalosporin
Flucloxacillin (Site 6),Penicillin
Lamivudine (Site 2),NRTI
25-O-desacetyl rifabutin  (Site 4),Rifamycin
Hydroxy-metronidazole  (Site 6),Azole
Amoxicilloic acid (Site 6),Penicillin
Delamanid (Site 6),Nitroimidazole
4-hydroxy-trimethoprim  (Site 2),Trimethoprim
