0,Class A
Nalidixic acid (Site 4),Quinolone
Amoxicillin (Site 6),Penicillin
Streptomycin A (Site 4),Aminoglycoside
Deacetyl-ketoconazole  (Site 6),Azole
Capreomycin IA (Site 2),Aminoglycoside
N-desmethyl clindamycin  (Site 6),Lincomycin
Ofloxacin (Levofloxacin) (Site 6),Quinolone
N-desmethyl azithromycin  (Site 4),Macrolide
Pyrazinamide (Site 6),Pyrazinamide
Aztreonam (Site 6),Monobactam
Acetyl-isoniazid  (Site 4),Isoniazid
Desethylene ciprofloxacin (Site 2),Quinolone
Penicillin G (Site 2),Penicillin
Amoxicillin (Site 4),Penicillin
Flucloxacillin (Site 4),Penicillin
Amoxicilloic acid (Site 4),Penicillin
N-acetyl sulfadiazine  (Site 6),Sulfonamide
Desmethyl-ofloxacin  (Site 6),Quinolone
Delamanid (Site 4),Nitroimidazole
Ampicillin (Site 6),Penicillin
Lamivudine (Site 4),NRTI
Cefalexin (Site 6),Cefalosporin
Metronidazole (Site 6),Azole
D-cycloserine (Site 4),Isoxazole
Delamanid (Site 2),Nitroimidazole
