0,Class A
Flumequine (Site 4),Quinolone
Deacetyl-ketoconazole  (Site 6),Azole
Emtricitabine (Site 4),NRTI
Lamivudine (Site 2),NRTI
Hydroxy-metronidazole  (Site 6),Azole
4-hydroxy-trimethoprim  (Site 4),Trimethoprim
Gatifloxacin (Site 2),Quinolone
N-desmethyl clarithromycin  (Site 2),Macrolide
4-hydroxy-trimethoprim  (Site 2),Trimethoprim
Sulfamethoxazole (Site 6),Sulfonamide
Streptomycin A (Site 4),Aminoglycoside
N-desmethyl clarithromycin  (Site 6),Macrolide
Amoxicilloic acid (Site 6),Penicillin
N-desmethyl clindamycin  (Site 6),Lincomycin
25-O-desacetyl rifabutin  (Site 6),Rifamycin
Ethambutol (Site 4),Ethambutol
Desethylene ciprofloxacin (Site 2),Quinolone
Emtricitabine (Site 2),NRTI
Ceftiofur (Site 2),Cefalosporin
Delamanid (Site 2),Nitroimidazole
Linezolid (Site 6),Oxazolidinone
Clarithromycin (Site 4),Macrolide
Trimethoprim (Site 2),Trimethoprim
Nalidixic acid (Site 4),Quinolone
Capreomycin IA (Site 2),Aminoglycoside
