0,Class A
4-hydroxy-trimethoprim  (Site 2),Trimethoprim
Gatifloxacin (Site 2),Quinolone
Kanamycin A (Site 4),Aminoglycoside
Hydroxy-metronidazole  (Site 6),Azole
Ethambutol (Site 4),Ethambutol
Amoxicilloic acid (Site 4),Penicillin
Emtricitabine (Site 4),NRTI
Trimethoprim (Site 2),Trimethoprim
Doxycycline  (Site 4),Cycline
Capreomycin IA (Site 6),Aminoglycoside
N-desmethyl clindamycin  (Site 6),Lincomycin
Capreomycin IA (Site 2),Aminoglycoside
Gentamycin C2 C2a C2b (Site 4),Aminoglycoside
4-hydroxy-trimethoprim  (Site 4),Trimethoprim
Gentamycin C2 C2a C2b (Site 2),Aminoglycoside
Lomefloxacin (Site 2),Quinolone
Amoxicilloic acid (Site 6),Penicillin
Acetyl-isoniazid  (Site 4),Isoniazid
N-acetyl sulfadiazine  (Site 6),Sulfonamide
Flumequine (Site 4),Quinolone
4-hydroxy-trimethoprim  (Site 6),Trimethoprim
N-acetyl sulfapyridine  (Site 6),Sulfonamide
Lamivudine (Site 4),NRTI
Cefixime (Site 2),Cefalosporin
Oxytetracycline (Site 6),Cycline
