Features,Ranking
Capreomycin IA_site6,1
Trimethoprim_site6,2
Cefixime_site2,3
Nitrofurantoin_site2,4
Oxytetracycline_site2,5
Azithromycin_site4,6
Sulfasalazine_site4,7
Ulifloxacin_site4,8
Sarafloxacin_site6,9
Emtricitabine_site6,10
Hydroxy-norfloxacin _site6,11
N-desmethyl azithromycin _site4,12
Isonicotinic acid_site6,13
Ceftiofur_site2,14
Rifampicin_site6,15
Kanamycin A_site4,16
Enrofloxacin_site6,17
4-hydroxy-trimethoprim _site2,18
Capreomycin IB_site6,19
Meropenem_site4,20
Isonicotinic acid_site4,21
N-acetyl sulfapyridine _site6,22
Sarafloxacin_site2,23
Trimethoprim_site4,24
Prulifloxacin_site2,25
Ketoconazole_site6,26
Trimethoprim_site2,27
Ceftriaxone_site4,28
Ketoconazole_site2,29
Bedaquiline_site2,30
N-demethyl erythromycin_site6,31
Acetyl-isoniazid _site4,32
Lomefloxacin_site6,33
Tetracycline_site2,34
Ceftriaxone_site6,35
Flucloxacillin_site4,36
Ceftiofur_site6,37
Gentamycin C2 C2a C2b_site2,38
Pyrazinamide_site4,39
Delamanid_site4,40
Rifabutin_site6,41
Streptomycin A_site6,42
Tetracycline_site4,43
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site4",44
Prulifloxacin_site4,45
Kanamycin A_site2,46
Linezolid_site4,47
Amoxicilloic acid_site4,48
Florfenicol_site6,49
25-O-desacetyl rifabutin _site4,50
Acetyl-isoniazid _site2,51
Doxycycline _site6,52
Linezolid_site2,53
Erythromycin_site4,54
N-acetyl sulfadiazine _site6,55
Amoxicillin_site6,56
Penicillin G_site2,57
Desmethyl-ofloxacin _site2,58
D-cycloserine_site4,59
Sulfapyridine_site6,60
Azithromycin_site6,61
Ofloxacin N-oxide_site4,62
Desmethyl-ofloxacin _site6,63
Ofloxacin N-oxide_site6,64
N-desmethyl clindamycin _site6,65
Flumequine_site4,66
Gentamycin C1a_site6,67
Ciprofloxacin_site4,68
Ciprofloxacin_site6,69
Norfloxacin_site4,70
Erythromycin_site6,71
Lomefloxacin_site4,72
Danofloxacin_site4,73
Nadifloxacin_site2,74
Ofloxacin N-oxide_site2,75
Hydroxy-metronidazole _site4,76
Gentamycin C2 C2a C2b_site4,77
Penicilloic G acid_site4,78
Deacetyl-ketoconazole _site6,79
Hydroxy-metronidazole _site6,80
Gentamycin C1a_site2,81
Delamanid_site2,82
Azithromycin_site2,83
Thalidomide_site6,84
Penicillin V_site4,85
Penicilloic G acid_site6,86
Gentamycin C1a_site4,87
Ampicillin_site2,88
Oxytetracycline_site4,89
25-O-desacetyl rifabutin _site6,90
Imipenem_site2,91
Sulfadiazine_site4,92
Streptomycin A_site4,93
Ulifloxacin_site6,94
N-acetyl sulfamethoxazole _site6,95
Isoniazid_site2,96
Nadifloxacin_site4,97
N-desmethyl azithromycin _site6,98
Oxytetracycline_site6,99
Amoxicilloic acid_site6,100
Cefixime_site4,101
Gatifloxacin_site4,102
Capreomycin IB_site4,103
Ampicilloic acid_site4,104
Imipenem_site6,105
Metronidazole_site4,106
Cefalexin_site4,107
Isoniazid_site6,108
Pyrazinamide_site2,109
Desethylene ciprofloxacin_site2,110
N-acetyl sulfamethoxazole _site4,111
Nitrofurantoin_site6,112
Aztreonam_site2,113
4-hydroxy-trimethoprim _site6,114
Deacetyl-ketoconazole _site4,115
Rifabutin_site4,116
Imipenem_site4,117
Desethylene ciprofloxacin_site6,118
Nalidixic acid_site4,119
Amoxicillin_site2,120
Sulfamethoxazole_site4,121
Lamivudine_site6,122
Lamivudine_site2,123
N-acetyl sulfadiazine _site2,124
Thalidomide_site4,125
Moxifloxacin_site6,126
Delamanid_site6,127
4-hydroxy-trimethoprim _site4,128
Ampicillin_site4,129
Flumequine_site2,130
Ketoconazole_site4,131
Amoxicilloic acid_site2,132
Gentamycin C1_site2,133
Ceftriaxone_site2,134
Acetyl-isoniazid _site6,135
Desethylene ciprofloxacin_site4,136
Meropenem_site6,137
Nalidixic acid_site6,138
Streptomycin A_site2,139
Ethambutol_site2,140
Isonicotinic acid_site2,141
Besifloxacin_site2,142
Penicilloic G acid_site2,143
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site6",144
N-demethyl erythromycin_site2,145
Norfloxacin_site6,146
Moxifloxacin_site4,147
Penicillin G_site4,148
Clindamycin_site6,149
Meropenem_site2,150
Sarafloxacin_site4,151
Cefalexin_site6,152
Emtricitabine_site4,153
Ethambutol_site6,154
Nadifloxacin_site6,155
Flumequine_site6,156
Kanamycin A_site6,157
Enrofloxacin_site4,158
Chloramphenicol_site6,159
Hydroxy-norfloxacin _site2,160
Chloramphenicol_site2,161
Besifloxacin_site6,162
