Features,Ranking
Danofloxacin_site6,1
Desethylene ciprofloxacin_site2,2
Lamivudine_site4,3
Ethambutol_site6,4
Prulifloxacin_site4,5
Gentamycin C2 C2a C2b_site4,6
Hydroxy-metronidazole _site6,7
Ethambutol_site2,8
Gentamycin C2 C2a C2b_site2,9
Gentamycin C1a_site4,10
Delamanid_site2,11
Amoxicilloic acid_site4,12
N-acetyl sulfadiazine _site6,13
25-desacetyl rifampicin _site6,14
Cefixime_site2,15
Linezolid_site6,16
Prulifloxacin_site2,17
4-hydroxy-trimethoprim _site6,18
Metronidazole_site6,19
Ceftriaxone_site6,20
Acetyl-isoniazid _site6,21
Trimethoprim_site2,22
Ethambutol_site4,23
Ceftiofur_site2,24
25-desacetyl rifampicin _site4,25
N-desmethyl clarithromycin _site2,26
N-acetyl sulfamethoxazole _site6,27
Desmethyl-ofloxacin _site6,28
Meropenem_site6,29
Gatifloxacin_site2,30
Acetyl-isoniazid _site4,31
Emtricitabine_site2,32
Moxifloxacin_site6,33
Nalidixic acid_site6,34
Nitrofurantoin_site6,35
N-desmethyl clindamycin _site6,36
Ceftiofur_site6,37
4-hydroxy-trimethoprim _site2,38
Cefixime_site6,39
Pyrazinamide_site6,40
Doxycycline _site6,41
Penicilloic G acid_site6,42
Emtricitabine_site4,43
Hydroxy-metronidazole _site4,44
Ceftriaxone_site4,45
Cefalexin_site6,46
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site6",47
Deacetyl-ketoconazole _site6,48
Lamivudine_site2,49
Amoxicilloic acid_site6,50
Flucloxacillin_site4,51
Danofloxacin_site4,52
Amoxicillin_site6,53
Lamivudine_site6,54
Amoxicillin_site4,55
Tetracycline_site4,56
4-hydroxy-trimethoprim _site4,57
N-acetyl sulfapyridine _site6,58
25-O-desacetyl rifabutin _site4,59
Linezolid_site2,60
Sulfasalazine_site6,61
25-O-desacetyl rifabutin _site6,62
Penicilloic G acid_site4,63
Sulfamethoxazole_site6,64
Sulfamethoxazole_site4,65
Tetracycline_site6,66
Sarafloxacin_site4,67
Bedaquiline_site4,68
Doxycycline _site4,69
Rifabutin_site4,70
Besifloxacin_site6,71
Streptomycin A_site4,72
Thalidomide_site6,73
Ciprofloxacin_site4,74
Flumequine_site4,75
Ampicillin_site4,76
Thalidomide_site4,77
Ampicillin_site6,78
Isoniazid_site6,79
Emtricitabine_site6,80
Sulfapyridine_site4,81
Ketoconazole_site6,82
Isonicotinic acid_site2,83
Hydroxy-norfloxacin _site2,84
Deacetyl-ketoconazole _site4,85
Kanamycin A_site6,86
Capreomycin IA_site6,87
Ciprofloxacin_site2,88
Flumequine_site6,89
Gentamycin C1_site6,90
Sulfasalazine_site4,91
Nadifloxacin_site6,92
Capreomycin IA_site4,93
Isonicotinic acid_site4,94
Streptomycin A_site2,95
Rifabutin_site6,96
Norfloxacin_site4,97
Ketoconazole_site4,98
Besifloxacin_site2,99
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site4",100
Ulifloxacin_site4,101
Desmethyl-ofloxacin _site4,102
Trimethoprim_site4,103
Oxytetracycline_site6,104
Sarafloxacin_site6,105
Clarithromycin_site6,106
Enrofloxacin_site4,107
Oxytetracycline_site2,108
Ulifloxacin_site6,109
Capreomycin IA_site2,110
Amoxicilloic acid_site2,111
Kanamycin A_site2,112
N-demethyl erythromycin_site4,113
Acetyl-isoniazid _site2,114
Lomefloxacin_site2,115
Meropenem_site4,116
Chloramphenicol_site6,117
Penicillin V_site6,118
Desmethyl-ofloxacin _site2,119
Streptomycin A_site6,120
Sarafloxacin_site2,121
Oxytetracycline_site4,122
Norfloxacin_site2,123
Rifampicin_site4,124
Sulfasalazine_site2,125
N-acetyl sulfapyridine _site2,126
Rifabutin_site2,127
Aztreonam_site6,128
N-acetyl sulfadiazine _site2,129
Trimethoprim_site6,130
Nitrofurantoin_site2,131
Hydroxy-norfloxacin _site6,132
Enrofloxacin_site2,133
Cefalexin_site2,134
Clindamycin_site4,135
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site2",136
25-O-desacetyl rifabutin _site2,137
Lomefloxacin_site6,138
Hydroxy-metronidazole _site2,139
Clindamycin_site6,140
Clarithromycin_site4,141
Clarithromycin_site2,142
Desethylene ciprofloxacin_site6,143
Ofloxacin N-oxide_site6,144
Rifampicin_site2,145
Erythromycin_site2,146
Metronidazole_site4,147
Metronidazole_site2,148
Isoniazid_site2,149
Tetracycline_site2,150
Penicillin V_site2,151
Sulfadiazine_site6,152
Azithromycin_site2,153
N-desmethyl clarithromycin _site4,154
Ciprofloxacin_site6,155
N-desmethyl clindamycin _site2,156
Sulfadiazine_site2,157
Moxifloxacin_site2,158
Azithromycin_site6,159
Gentamycin C1_site2,160
Prulifloxacin_site6,161
D-cycloserine_site2,162
Isonicotinic acid_site6,163
N-desmethyl azithromycin _site4,164
Clindamycin_site2,165
Moxifloxacin_site4,166
Ofloxacin N-oxide_site4,167
Nalidixic acid_site4,168
Besifloxacin_site4,169
N-acetyl sulfapyridine _site4,170
Deacetyl-ketoconazole _site2,171
Capreomycin IB_site2,172
Chloramphenicol_site4,173
Doxycycline _site2,174
N-desmethyl azithromycin _site2,175
D-cycloserine_site6,176
Ofloxacin (Levofloxacin)_site4,177
Gatifloxacin_site4,178
Capreomycin IB_site6,179
Bedaquiline_site6,180
N-desmethyl clindamycin _site4,181
Hydroxy-norfloxacin _site4,182
Imipenem_site6,183
Nitrofurantoin_site4,184
Erythromycin_site6,185
Capreomycin IB_site4,186
Flucloxacillin_site6,187
Ampicilloic acid_site6,188
Thalidomide_site2,189
Ofloxacin (Levofloxacin)_site2,190
Gentamycin C2 C2a C2b_site6,191
Chloramphenicol_site2,192
Penicillin G_site2,193
Sulfapyridine_site2,194
Delamanid_site6,195
Florfenicol_site4,196
Enrofloxacin_site6,197
Amoxicillin_site2,198
Ampicilloic acid_site4,199
Cefixime_site4,200
Lomefloxacin_site4,201
N-desmethyl azithromycin _site6,202
Gatifloxacin_site6,203
Nadifloxacin_site4,204
Delamanid_site4,205
Rifampicin_site6,206
Penicillin G_site6,207
Cefalexin_site4,208
N-acetyl sulfamethoxazole _site2,209
N-acetyl sulfamethoxazole _site4,210
Nalidixic acid_site2,211
Gentamycin C1a_site2,212
N-demethyl erythromycin_site2,213
Aztreonam_site2,214
Ampicillin_site2,215
Nadifloxacin_site2,216
Gentamycin C1a_site6,217
Sulfapyridine_site6,218
Imipenem_site4,219
Imipenem_site2,220
Erythromycin_site4,221
Norfloxacin_site6,222
Florfenicol_site6,223
Ceftiofur_site4,224
Kanamycin A_site4,225
Linezolid_site4,226
25-desacetyl rifampicin _site2,227
Ofloxacin (Levofloxacin)_site6,228
Desethylene ciprofloxacin_site4,229
Penicillin G_site4,230
N-demethyl erythromycin_site6,231
N-desmethyl clarithromycin _site6,232
Aztreonam_site4,233
Florfenicol_site2,234
Pyrazinamide_site2,235
Sulfamethoxazole_site2,236
Pyrazinamide_site4,237
Sulfadiazine_site4,238
Flucloxacillin_site2,239
Bedaquiline_site2,240
Penicillin V_site4,241
D-cycloserine_site4,242
Ketoconazole_site2,243
Ceftriaxone_site2,244
Meropenem_site2,245
Isoniazid_site4,246
Azithromycin_site4,247
Penicilloic G acid_site2,248
Flumequine_site2,249
Ofloxacin N-oxide_site2,250
5-Hydroxy-pyrazinoic acid _site2,251
Ampicilloic acid_site2,252
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site2",253
Ulifloxacin_site2,254
Danofloxacin_site2,255
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site4",256
5-Hydroxy-pyrazinoic acid _site4,257
N-acetyl sulfadiazine _site4,258
Gentamycin C1_site4,259
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site6",260
5-Hydroxy-pyrazinoic acid _site6,261
