Features,Ranking
Flumequine_site4,1
Gentamycin C2 C2a C2b_site2,2
Ethambutol_site2,3
Ceftriaxone_site6,4
Amoxicilloic acid_site6,5
Prulifloxacin_site4,6
Lamivudine_site2,7
Sulfasalazine_site6,8
Flucloxacillin_site4,9
Moxifloxacin_site6,10
N-desmethyl clarithromycin _site6,11
Sulfapyridine_site4,12
Doxycycline _site4,13
Cefalexin_site6,14
4-hydroxy-trimethoprim _site2,15
Hydroxy-metronidazole _site6,16
Linezolid_site6,17
Acetyl-isoniazid _site6,18
Lamivudine_site4,19
Ampicillin_site6,20
Ethambutol_site4,21
Cefixime_site2,22
Besifloxacin_site6,23
Amoxicillin_site4,24
N-acetyl sulfamethoxazole _site6,25
Streptomycin A_site2,26
Nitrofurantoin_site6,27
Hydroxy-norfloxacin _site2,28
Flumequine_site6,29
Doxycycline _site6,30
Sulfamethoxazole_site6,31
Prulifloxacin_site2,32
Capreomycin IA_site6,33
Ethambutol_site6,34
Gatifloxacin_site2,35
Trimethoprim_site2,36
Prulifloxacin_site6,37
Sulfamethoxazole_site4,38
Isonicotinic acid_site2,39
Ceftiofur_site6,40
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site6",41
Clarithromycin_site4,42
N-desmethyl clarithromycin _site2,43
Hydroxy-norfloxacin _site6,44
N-acetyl sulfadiazine _site2,45
N-acetyl sulfapyridine _site6,46
Danofloxacin_site6,47
Acetyl-isoniazid _site4,48
Ampicilloic acid_site4,49
Sarafloxacin_site4,50
Cefixime_site4,51
N-desmethyl azithromycin _site6,52
Cefalexin_site4,53
Amoxicilloic acid_site4,54
Nadifloxacin_site4,55
Gentamycin C1a_site2,56
Desmethyl-ofloxacin _site4,57
Ampicillin_site2,58
Aztreonam_site4,59
Gentamycin C1a_site4,60
Clarithromycin_site6,61
Nadifloxacin_site2,62
Rifampicin_site4,63
Gentamycin C1a_site6,64
Gentamycin C2 C2a C2b_site4,65
Pyrazinamide_site4,66
Sulfapyridine_site6,67
Penicillin V_site2,68
Nalidixic acid_site4,69
Linezolid_site4,70
4-hydroxy-trimethoprim _site6,71
Moxifloxacin_site4,72
Hydroxy-metronidazole _site4,73
N-desmethyl clindamycin _site6,74
Ciprofloxacin_site2,75
Aztreonam_site2,76
Flumequine_site2,77
