Features,Ranking
Flumequine_site4,1
Gentamycin C2 C2a C2b_site2,2
Amoxicillin_site6,3
Deacetyl-ketoconazole _site4,4
Ceftriaxone_site4,5
Trimethoprim_site2,6
Amoxicilloic acid_site6,7
N-desmethyl clarithromycin _site6,8
Ethambutol_site4,9
Lamivudine_site4,10
4-hydroxy-trimethoprim _site2,11
Bedaquiline_site4,12
Pyrazinamide_site6,13
Prulifloxacin_site4,14
Lamivudine_site2,15
Gentamycin C1a_site4,16
Lamivudine_site6,17
Linezolid_site6,18
Sulfamethoxazole_site6,19
Erythromycin_site6,20
Penicillin V_site2,21
Ofloxacin (Levofloxacin)_site6,22
Capreomycin IA_site6,23
Ofloxacin N-oxide_site2,24
Rifabutin_site6,25
Kanamycin A_site4,26
25-desacetyl rifampicin _site6,27
Danofloxacin_site6,28
Sulfasalazine_site4,29
Ofloxacin N-oxide_site6,30
Cefixime_site6,31
Nalidixic acid_site4,32
4-hydroxy-trimethoprim _site6,33
Nitrofurantoin_site6,34
Danofloxacin_site4,35
Ciprofloxacin_site2,36
Gatifloxacin_site2,37
Deacetyl-ketoconazole _site6,38
Nalidixic acid_site6,39
N-acetyl sulfapyridine _site6,40
Gentamycin C1_site6,41
Metronidazole_site6,42
Meropenem_site4,43
Acetyl-isoniazid _site4,44
Ceftriaxone_site6,45
Desmethyl-ofloxacin _site6,46
Doxycycline _site6,47
Ethambutol_site2,48
Meropenem_site6,49
Tetracycline_site6,50
Thalidomide_site6,51
Clarithromycin_site4,52
Amoxicilloic acid_site2,53
Trimethoprim_site4,54
Isoniazid_site6,55
Ampicillin_site4,56
Desethylene ciprofloxacin_site4,57
Acetyl-isoniazid _site2,58
Bedaquiline_site2,59
Ethambutol_site6,60
Ciprofloxacin_site4,61
Cefalexin_site6,62
Moxifloxacin_site4,63
Ulifloxacin_site4,64
Ceftiofur_site6,65
Metronidazole_site4,66
Sulfamethoxazole_site4,67
Isoniazid_site2,68
Nitrofurantoin_site2,69
Kanamycin A_site2,70
Sulfasalazine_site6,71
Linezolid_site2,72
Amoxicilloic acid_site4,73
25-desacetyl rifampicin _site4,74
Azithromycin_site4,75
Ketoconazole_site2,76
Ulifloxacin_site6,77
Doxycycline _site4,78
Hydroxy-norfloxacin _site6,79
Gentamycin C2 C2a C2b_site4,80
