Features,Ranking
Acetyl-isoniazid _site4,1
Streptomycin A_site4,2
25-desacetyl rifampicin _site6,3
Trimethoprim_site2,4
Flumequine_site4,5
Ceftriaxone_site4,6
Desethylene ciprofloxacin_site2,7
Capreomycin IA_site6,8
Desmethyl-ofloxacin _site6,9
Nalidixic acid_site6,10
N-desmethyl clarithromycin _site6,11
4-hydroxy-trimethoprim _site2,12
Deacetyl-ketoconazole _site6,13
25-O-desacetyl rifabutin _site6,14
Linezolid_site6,15
Ethambutol_site4,16
Lamivudine_site2,17
Ofloxacin N-oxide_site2,18
25-O-desacetyl rifabutin _site4,19
Tetracycline_site6,20
Nalidixic acid_site4,21
Ethambutol_site6,22
Enrofloxacin_site4,23
4-hydroxy-trimethoprim _site4,24
Pyrazinamide_site6,25
Gentamycin C1a_site4,26
25-O-desacetyl rifabutin _site2,27
Erythromycin_site6,28
Delamanid_site2,29
Nadifloxacin_site6,30
Linezolid_site2,31
Emtricitabine_site4,32
Kanamycin A_site6,33
Nitrofurantoin_site6,34
Ketoconazole_site4,35
Gentamycin C2 C2a C2b_site2,36
Gentamycin C2 C2a C2b_site4,37
Ofloxacin (Levofloxacin)_site6,38
Prulifloxacin_site4,39
Danofloxacin_site6,40
Chloramphenicol_site6,41
Nitrofurantoin_site2,42
Flumequine_site2,43
Metronidazole_site6,44
Emtricitabine_site6,45
Amoxicilloic acid_site6,46
Ciprofloxacin_site6,47
Delamanid_site6,48
Enrofloxacin_site2,49
Bedaquiline_site2,50
Meropenem_site6,51
Acetyl-isoniazid _site2,52
Bedaquiline_site4,53
Amoxicillin_site6,54
Cefixime_site6,55
Sulfamethoxazole_site6,56
N-desmethyl clarithromycin _site2,57
Isonicotinic acid_site4,58
Azithromycin_site6,59
Cefalexin_site2,60
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site2",61
Norfloxacin_site4,62
Hydroxy-metronidazole _site2,63
Prulifloxacin_site2,64
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site6",65
N-acetyl sulfadiazine _site6,66
Ceftiofur_site6,67
Clarithromycin_site2,68
Desmethyl-ofloxacin _site2,69
Erythromycin_site2,70
Gentamycin C1_site6,71
Sulfadiazine_site6,72
Deacetyl-ketoconazole _site4,73
Metronidazole_site2,74
25-desacetyl rifampicin _site4,75
Desethylene ciprofloxacin_site6,76
N-desmethyl clarithromycin _site4,77
Desethylene ciprofloxacin_site4,78
N-desmethyl clindamycin _site2,79
