Features,Ranking
Flumequine_site4,1
Deacetyl-ketoconazole _site6,2
Emtricitabine_site4,3
Lamivudine_site2,4
Hydroxy-metronidazole _site6,5
4-hydroxy-trimethoprim _site4,6
Gatifloxacin_site2,7
N-desmethyl clarithromycin _site2,8
4-hydroxy-trimethoprim _site2,9
Sulfamethoxazole_site6,10
Streptomycin A_site4,11
N-desmethyl clarithromycin _site6,12
Amoxicilloic acid_site6,13
N-desmethyl clindamycin _site6,14
25-O-desacetyl rifabutin _site6,15
Ethambutol_site4,16
Desethylene ciprofloxacin_site2,17
Emtricitabine_site2,18
Ceftiofur_site2,19
Delamanid_site2,20
Linezolid_site6,21
Clarithromycin_site4,22
Trimethoprim_site2,23
Nalidixic acid_site4,24
Capreomycin IA_site2,25
25-desacetyl rifampicin _site4,26
25-desacetyl rifampicin _site6,27
Flucloxacillin_site4,28
Delamanid_site6,29
Prulifloxacin_site4,30
Acetyl-isoniazid _site2,31
Ethambutol_site2,32
Lamivudine_site6,33
Rifabutin_site6,34
Kanamycin A_site2,35
Acetyl-isoniazid _site4,36
Isonicotinic acid_site2,37
Enrofloxacin_site2,38
Cefalexin_site6,39
Danofloxacin_site4,40
Norfloxacin_site4,41
Tetracycline_site4,42
Hydroxy-norfloxacin _site6,43
Nalidixic acid_site6,44
Pyrazinamide_site6,45
Kanamycin A_site6,46
Ceftriaxone_site6,47
Ciprofloxacin_site4,48
Penicilloic G acid_site4,49
Cefixime_site2,50
Hydroxy-metronidazole _site4,51
N-acetyl sulfamethoxazole _site6,52
N-acetyl sulfadiazine _site6,53
Gentamycin C2 C2a C2b_site2,54
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site4",55
Doxycycline _site4,56
Bedaquiline_site4,57
Cefalexin_site2,58
Capreomycin IA_site6,59
Ulifloxacin_site4,60
Metronidazole_site6,61
Lamivudine_site4,62
Isonicotinic acid_site6,63
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site2",64
Azithromycin_site6,65
Flumequine_site2,66
Oxytetracycline_site6,67
Tetracycline_site6,68
Isoniazid_site6,69
Amoxicillin_site6,70
Hydroxy-metronidazole _site2,71
Amoxicillin_site4,72
Clarithromycin_site2,73
Acetyl-isoniazid _site6,74
Bedaquiline_site2,75
Kanamycin A_site4,76
Imipenem_site2,77
Cefixime_site6,78
Trimethoprim_site4,79
Erythromycin_site2,80
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site6",81
Gentamycin C1_site6,82
Desethylene ciprofloxacin_site6,83
Sulfadiazine_site6,84
N-demethyl erythromycin_site6,85
Metronidazole_site2,86
Ofloxacin (Levofloxacin)_site6,87
Erythromycin_site6,88
Thalidomide_site6,89
N-desmethyl clarithromycin _site4,90
N-desmethyl clindamycin _site2,91
4-hydroxy-trimethoprim _site6,92
Amoxicilloic acid_site2,93
Azithromycin_site4,94
Thalidomide_site4,95
Ceftriaxone_site4,96
Lomefloxacin_site4,97
Sulfadiazine_site2,98
Emtricitabine_site6,99
Moxifloxacin_site2,100
Prulifloxacin_site2,101
Doxycycline _site6,102
Ampicillin_site4,103
Meropenem_site4,104
D-cycloserine_site2,105
Clindamycin_site2,106
Besifloxacin_site4,107
Desethylene ciprofloxacin_site4,108
Amoxicillin_site2,109
Ofloxacin N-oxide_site2,110
Capreomycin IB_site2,111
Deacetyl-ketoconazole _site2,112
25-O-desacetyl rifabutin _site2,113
Penicillin V_site2,114
Doxycycline _site2,115
D-cycloserine_site6,116
Metronidazole_site4,117
Trimethoprim_site6,118
Penicillin V_site4,119
Penicillin G_site4,120
N-desmethyl clindamycin _site4,121
N-acetyl sulfapyridine _site6,122
Enrofloxacin_site6,123
Ampicillin_site6,124
Penicilloic G acid_site6,125
N-desmethyl azithromycin _site2,126
Penicilloic G acid_site2,127
Hydroxy-norfloxacin _site4,128
Nitrofurantoin_site4,129
Sarafloxacin_site4,130
Desmethyl-ofloxacin _site6,131
Aztreonam_site4,132
Thalidomide_site2,133
Gentamycin C2 C2a C2b_site6,134
Rifampicin_site6,135
Ofloxacin (Levofloxacin)_site2,136
Capreomycin IB_site6,137
Prulifloxacin_site6,138
Ceftiofur_site6,139
Ciprofloxacin_site6,140
N-demethyl erythromycin_site2,141
Penicillin G_site6,142
Sulfasalazine_site4,143
Oxytetracycline_site2,144
Flucloxacillin_site6,145
Sulfasalazine_site6,146
Rifabutin_site4,147
Norfloxacin_site2,148
Desmethyl-ofloxacin _site4,149
Desmethyl-ofloxacin _site2,150
Sulfasalazine_site2,151
N-acetyl sulfamethoxazole _site2,152
Nalidixic acid_site2,153
Nadifloxacin_site6,154
Streptomycin A_site2,155
Gentamycin C1_site2,156
Hydroxy-norfloxacin _site2,157
Norfloxacin_site6,158
Ofloxacin N-oxide_site6,159
Aztreonam_site6,160
Lomefloxacin_site2,161
Imipenem_site4,162
N-acetyl sulfapyridine _site2,163
Ethambutol_site6,164
Clindamycin_site6,165
Moxifloxacin_site6,166
N-acetyl sulfamethoxazole _site4,167
Streptomycin A_site6,168
25-desacetyl rifampicin _site2,169
Azithromycin_site2,170
Gatifloxacin_site4,171
Meropenem_site6,172
Sarafloxacin_site2,173
Isoniazid_site2,174
Flumequine_site6,175
Gatifloxacin_site6,176
Besifloxacin_site6,177
Capreomycin IB_site4,178
Nitrofurantoin_site6,179
Sulfadiazine_site4,180
Isoniazid_site4,181
Clarithromycin_site6,182
Bedaquiline_site6,183
Chloramphenicol_site2,184
Ampicilloic acid_site6,185
Linezolid_site4,186
Florfenicol_site6,187
Cefalexin_site4,188
Flucloxacillin_site2,189
Penicillin V_site6,190
Nitrofurantoin_site2,191
Ulifloxacin_site6,192
Sulfapyridine_site4,193
Florfenicol_site2,194
Sulfamethoxazole_site2,195
Ciprofloxacin_site2,196
Erythromycin_site4,197
Rifabutin_site2,198
Sulfapyridine_site6,199
Ketoconazole_site6,200
Danofloxacin_site6,201
Gentamycin C1a_site6,202
Ampicillin_site2,203
Pyrazinamide_site2,204
Enrofloxacin_site4,205
Nadifloxacin_site2,206
Florfenicol_site4,207
Gentamycin C1a_site4,208
Sulfapyridine_site2,209
Gentamycin C1a_site2,210
Ketoconazole_site4,211
Ofloxacin N-oxide_site4,212
Nadifloxacin_site4,213
Sulfamethoxazole_site4,214
Meropenem_site2,215
Ampicilloic acid_site4,216
N-desmethyl azithromycin _site6,217
Isonicotinic acid_site4,218
Moxifloxacin_site4,219
Cefixime_site4,220
Oxytetracycline_site4,221
Rifampicin_site4,222
Ceftiofur_site4,223
Chloramphenicol_site4,224
Clindamycin_site4,225
N-acetyl sulfadiazine _site2,226
Capreomycin IA_site4,227
Linezolid_site2,228
Ofloxacin (Levofloxacin)_site4,229
Tetracycline_site2,230
Besifloxacin_site2,231
25-O-desacetyl rifabutin _site4,232
Deacetyl-ketoconazole _site4,233
N-demethyl erythromycin_site4,234
D-cycloserine_site4,235
Amoxicilloic acid_site4,236
Pyrazinamide_site4,237
N-acetyl sulfapyridine _site4,238
Imipenem_site6,239
Gentamycin C2 C2a C2b_site4,240
Lomefloxacin_site6,241
Chloramphenicol_site6,242
Delamanid_site4,243
Penicillin G_site2,244
N-desmethyl azithromycin _site4,245
Rifampicin_site2,246
Ceftriaxone_site2,247
Sarafloxacin_site6,248
Ketoconazole_site2,249
Aztreonam_site2,250
N-acetyl sulfadiazine _site4,251
5-Hydroxy-pyrazinoic acid _site4,252
Gentamycin C1_site4,253
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site4",254
Ulifloxacin_site2,255
Danofloxacin_site2,256
Ampicilloic acid_site2,257
5-Hydroxy-pyrazinoic acid _site2,258
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site2",259
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site6",260
5-Hydroxy-pyrazinoic acid _site6,261
