Features,Ranking
Cefixime_site2,1
Oxytetracycline_site2,2
N-desmethyl clarithromycin _site6,3
Sulfamethoxazole_site6,4
Clarithromycin_site4,5
Bedaquiline_site2,6
Ofloxacin N-oxide_site2,7
Lamivudine_site6,8
Trimethoprim_site2,9
Tetracycline_site6,10
Desmethyl-ofloxacin _site6,11
Kanamycin A_site4,12
Ceftriaxone_site4,13
Lamivudine_site4,14
Meropenem_site4,15
Ciprofloxacin_site6,16
Lomefloxacin_site2,17
Deacetyl-ketoconazole _site6,18
Capreomycin IA_site2,19
4-hydroxy-trimethoprim _site4,20
Sulfasalazine_site4,21
Amoxicilloic acid_site6,22
Ofloxacin N-oxide_site6,23
Gentamycin C2 C2a C2b_site2,24
Erythromycin_site6,25
N-desmethyl clarithromycin _site2,26
Amoxicilloic acid_site4,27
Flumequine_site4,28
Metronidazole_site6,29
Sarafloxacin_site6,30
Ceftriaxone_site6,31
Prulifloxacin_site2,32
Streptomycin A_site4,33
Ofloxacin (Levofloxacin)_site6,34
N-acetyl sulfapyridine _site2,35
N-desmethyl clindamycin _site6,36
Hydroxy-norfloxacin _site6,37
Ethambutol_site2,38
4-hydroxy-trimethoprim _site2,39
Desethylene ciprofloxacin_site2,40
Acetyl-isoniazid _site2,41
Gentamycin C2 C2a C2b_site4,42
Enrofloxacin_site2,43
Amoxicillin_site6,44
Rifampicin_site6,45
Penicilloic G acid_site4,46
Cefalexin_site2,47
Delamanid_site2,48
Emtricitabine_site4,49
N-demethyl erythromycin_site6,50
Ketoconazole_site2,51
Gentamycin C1a_site4,52
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site2",53
Acetyl-isoniazid _site4,54
Emtricitabine_site6,55
N-acetyl sulfadiazine _site6,56
Ulifloxacin_site4,57
Kanamycin A_site6,58
Tetracycline_site4,59
Hydroxy-metronidazole _site2,60
Thalidomide_site6,61
Rifabutin_site6,62
Clarithromycin_site2,63
Erythromycin_site2,64
25-desacetyl rifampicin _site4,65
Hydroxy-metronidazole _site6,66
Sulfadiazine_site6,67
Prulifloxacin_site4,68
Nitrofurantoin_site2,69
Hydroxy-metronidazole _site4,70
Metronidazole_site2,71
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site4",72
Nalidixic acid_site6,73
Isonicotinic acid_site6,74
Delamanid_site6,75
Flucloxacillin_site4,76
N-desmethyl clarithromycin _site4,77
25-desacetyl rifampicin _site6,78
Gentamycin C1_site2,79
4-hydroxy-trimethoprim _site6,80
Azithromycin_site4,81
Linezolid_site6,82
N-desmethyl clindamycin _site2,83
Ethambutol_site4,84
Thalidomide_site4,85
Sulfadiazine_site2,86
Moxifloxacin_site2,87
Desmethyl-ofloxacin _site2,88
Pyrazinamide_site6,89
D-cycloserine_site2,90
Moxifloxacin_site6,91
Clindamycin_site2,92
Chloramphenicol_site6,93
Besifloxacin_site4,94
Streptomycin A_site2,95
Doxycycline _site6,96
Doxycycline _site4,97
Sarafloxacin_site4,98
Oxytetracycline_site6,99
Emtricitabine_site2,100
Danofloxacin_site4,101
Deacetyl-ketoconazole _site2,102
Ceftiofur_site6,103
Capreomycin IB_site2,104
Azithromycin_site6,105
Lomefloxacin_site4,106
Doxycycline _site2,107
Acetyl-isoniazid _site6,108
D-cycloserine_site6,109
Norfloxacin_site2,110
N-acetyl sulfapyridine _site6,111
Lamivudine_site2,112
N-desmethyl clindamycin _site4,113
N-desmethyl azithromycin _site2,114
N-acetyl sulfadiazine _site2,115
Nalidixic acid_site4,116
Flumequine_site6,117
Gatifloxacin_site4,118
Hydroxy-norfloxacin _site2,119
Hydroxy-norfloxacin _site4,120
Nitrofurantoin_site4,121
Besifloxacin_site6,122
Thalidomide_site2,123
Nitrofurantoin_site6,124
N-demethyl erythromycin_site2,125
Penicilloic G acid_site2,126
Bedaquiline_site4,127
Desethylene ciprofloxacin_site6,128
Amoxicillin_site2,129
Sulfasalazine_site6,130
Gentamycin C2 C2a C2b_site6,131
Trimethoprim_site6,132
Sulfapyridine_site4,133
Penicillin V_site4,134
Ofloxacin (Levofloxacin)_site2,135
Meropenem_site2,136
Cefixime_site6,137
Cefixime_site4,138
Trimethoprim_site4,139
25-O-desacetyl rifabutin _site2,140
Penicillin G_site6,141
N-desmethyl azithromycin _site6,142
Imipenem_site4,143
Ampicilloic acid_site4,144
Danofloxacin_site6,145
Flumequine_site2,146
Florfenicol_site4,147
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site6",148
Imipenem_site2,149
Nadifloxacin_site4,150
Penicilloic G acid_site6,151
Gentamycin C1a_site2,152
Sulfasalazine_site2,153
Aztreonam_site2,154
Gentamycin C1_site6,155
Nadifloxacin_site2,156
Gatifloxacin_site2,157
N-acetyl sulfamethoxazole _site2,158
Ampicilloic acid_site6,159
Nalidixic acid_site2,160
N-acetyl sulfamethoxazole _site6,161
Ampicillin_site2,162
Meropenem_site6,163
Cefalexin_site4,164
Gentamycin C1a_site6,165
Rifabutin_site4,166
Sulfapyridine_site6,167
Moxifloxacin_site4,168
Erythromycin_site4,169
Linezolid_site4,170
Florfenicol_site6,171
Isonicotinic acid_site2,172
Metronidazole_site4,173
Ampicillin_site4,174
Ampicillin_site6,175
Pyrazinamide_site2,176
Chloramphenicol_site2,177
25-desacetyl rifampicin _site2,178
Penicillin G_site4,179
Sulfadiazine_site4,180
Azithromycin_site2,181
Desmethyl-ofloxacin _site4,182
25-O-desacetyl rifabutin _site4,183
N-demethyl erythromycin_site4,184
Isoniazid_site2,185
Norfloxacin_site6,186
Ketoconazole_site4,187
Isoniazid_site4,188
Linezolid_site2,189
Pyrazinamide_site4,190
Amoxicilloic acid_site2,191
Flucloxacillin_site6,192
Prulifloxacin_site6,193
Clarithromycin_site6,194
Capreomycin IB_site6,195
Capreomycin IA_site6,196
Clindamycin_site6,197
Besifloxacin_site2,198
Flucloxacillin_site2,199
Ceftiofur_site4,200
Florfenicol_site2,201
Sulfamethoxazole_site2,202
Nadifloxacin_site6,203
Gatifloxacin_site6,204
Ethambutol_site6,205
Isonicotinic acid_site4,206
Rifampicin_site4,207
Penicillin G_site2,208
Capreomycin IA_site4,209
Deacetyl-ketoconazole _site4,210
Enrofloxacin_site6,211
Sulfapyridine_site2,212
Aztreonam_site6,213
Aztreonam_site4,214
Bedaquiline_site6,215
Clindamycin_site4,216
Tetracycline_site2,217
Sulfamethoxazole_site4,218
Penicillin V_site6,219
Capreomycin IB_site4,220
Oxytetracycline_site4,221
N-desmethyl azithromycin _site4,222
N-acetyl sulfamethoxazole _site4,223
25-O-desacetyl rifabutin _site6,224
Rifampicin_site2,225
Ceftriaxone_site2,226
Imipenem_site6,227
Ciprofloxacin_site2,228
Desethylene ciprofloxacin_site4,229
Delamanid_site4,230
Streptomycin A_site6,231
D-cycloserine_site4,232
Enrofloxacin_site4,233
Ofloxacin N-oxide_site4,234
Chloramphenicol_site4,235
Ofloxacin (Levofloxacin)_site4,236
Kanamycin A_site2,237
Amoxicillin_site4,238
Isoniazid_site6,239
Ketoconazole_site6,240
Penicillin V_site2,241
Ceftiofur_site2,242
Norfloxacin_site4,243
Cefalexin_site6,244
Ciprofloxacin_site4,245
Sarafloxacin_site2,246
N-acetyl sulfapyridine _site4,247
Ulifloxacin_site6,248
Lomefloxacin_site6,249
Rifabutin_site2,250
Gentamycin C1_site4,251
Ulifloxacin_site2,252
N-acetyl sulfadiazine _site4,253
Ampicilloic acid_site2,254
5-Hydroxy-pyrazinoic acid _site4,255
5-Hydroxy-pyrazinoic acid _site2,256
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site4",257
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site2",258
Danofloxacin_site2,259
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site6",260
5-Hydroxy-pyrazinoic acid _site6,261
