Features,Ranking
Amoxicillin_site6,1
Sulfamethoxazole_site6,2
N-desmethyl azithromycin _site4,3
Linezolid_site6,4
Amoxicilloic acid_site6,5
Hydroxy-metronidazole _site6,6
Flumequine_site4,7
4-hydroxy-trimethoprim _site6,8
Ceftriaxone_site4,9
Capreomycin IA_site2,10
N-desmethyl clarithromycin _site6,11
N-desmethyl clarithromycin _site2,12
Trimethoprim_site2,13
Delamanid_site2,14
Gentamycin C2 C2a C2b_site2,15
Lamivudine_site2,16
4-hydroxy-trimethoprim _site2,17
Acetyl-isoniazid _site4,18
Pyrazinamide_site6,19
25-O-desacetyl rifabutin _site4,20
25-desacetyl rifampicin _site6,21
Clarithromycin_site4,22
Flucloxacillin_site4,23
Ketoconazole_site4,24
Ofloxacin (Levofloxacin)_site6,25
N-desmethyl clindamycin _site6,26
Ethambutol_site4,27
Trimethoprim_site4,28
Ciprofloxacin_site6,29
Lamivudine_site4,30
Emtricitabine_site4,31
Tetracycline_site2,32
25-desacetyl rifampicin _site4,33
Enrofloxacin_site2,34
Tetracycline_site4,35
25-O-desacetyl rifabutin _site6,36
Penicillin V_site2,37
Enrofloxacin_site6,38
Ofloxacin N-oxide_site6,39
N-acetyl sulfapyridine _site6,40
4-hydroxy-trimethoprim _site4,41
Kanamycin A_site4,42
Acetyl-isoniazid _site6,43
Lamivudine_site6,44
Ulifloxacin_site4,45
Lomefloxacin_site2,46
Prulifloxacin_site4,47
Streptomycin A_site4,48
Cefalexin_site2,49
Deacetyl-ketoconazole _site4,50
Isoniazid_site6,51
Ciprofloxacin_site4,52
Delamanid_site4,53
D-cycloserine_site4,54
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site2",55
Norfloxacin_site4,56
Metronidazole_site6,57
Hydroxy-metronidazole _site2,58
Clarithromycin_site2,59
Erythromycin_site2,60
N-acetyl sulfapyridine _site2,61
Capreomycin IB_site6,62
N-desmethyl clarithromycin _site4,63
Amoxicilloic acid_site2,64
Lomefloxacin_site6,65
Metronidazole_site2,66
Acetyl-isoniazid _site2,67
Kanamycin A_site6,68
Sarafloxacin_site6,69
Cefixime_site2,70
Imipenem_site6,71
Doxycycline _site4,72
Sulfadiazine_site6,73
N-desmethyl clindamycin _site2,74
Azithromycin_site4,75
Sulfadiazine_site2,76
Ciprofloxacin_site2,77
Moxifloxacin_site2,78
Imipenem_site2,79
Sarafloxacin_site2,80
Ceftriaxone_site2,81
Isoniazid_site2,82
Sulfasalazine_site4,83
Nitrofurantoin_site6,84
Trimethoprim_site6,85
Ketoconazole_site6,86
N-acetyl sulfadiazine _site6,87
D-cycloserine_site2,88
Nalidixic acid_site6,89
Ulifloxacin_site6,90
Danofloxacin_site6,91
Amoxicillin_site4,92
Clindamycin_site2,93
Besifloxacin_site4,94
