Features,Ranking
4-hydroxy-trimethoprim _site2,1
Gatifloxacin_site2,2
Kanamycin A_site4,3
Hydroxy-metronidazole _site6,4
Ethambutol_site4,5
Amoxicilloic acid_site4,6
Emtricitabine_site4,7
Trimethoprim_site2,8
Doxycycline _site4,9
Capreomycin IA_site6,10
N-desmethyl clindamycin _site6,11
Capreomycin IA_site2,12
Gentamycin C2 C2a C2b_site4,13
4-hydroxy-trimethoprim _site4,14
Gentamycin C2 C2a C2b_site2,15
Lomefloxacin_site2,16
Amoxicilloic acid_site6,17
Acetyl-isoniazid _site4,18
N-acetyl sulfadiazine _site6,19
Flumequine_site4,20
4-hydroxy-trimethoprim _site6,21
N-acetyl sulfapyridine _site6,22
Lamivudine_site4,23
Cefixime_site2,24
Oxytetracycline_site6,25
Lamivudine_site6,26
Amoxicilloic acid_site2,27
Prulifloxacin_site4,28
Nalidixic acid_site6,29
Aztreonam_site6,30
N-acetyl sulfamethoxazole _site6,31
Flucloxacillin_site4,32
Gentamycin C1a_site4,33
Ofloxacin N-oxide_site2,34
Amoxicillin_site6,35
Desmethyl-ofloxacin _site6,36
Ceftriaxone_site4,37
Ofloxacin (Levofloxacin)_site6,38
Ceftriaxone_site6,39
Cefixime_site6,40
Ceftiofur_site2,41
Desethylene ciprofloxacin_site2,42
Moxifloxacin_site4,43
Nitrofurantoin_site2,44
Erythromycin_site6,45
Ciprofloxacin_site6,46
Pyrazinamide_site6,47
Bedaquiline_site4,48
Ofloxacin N-oxide_site6,49
Aztreonam_site4,50
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site6",51
Sarafloxacin_site6,52
Norfloxacin_site2,53
Danofloxacin_site6,54
Emtricitabine_site2,55
Amoxicillin_site2,56
Prulifloxacin_site2,57
Metronidazole_site6,58
Gentamycin C1_site6,59
Desmethyl-ofloxacin _site4,60
Tetracycline_site6,61
Enrofloxacin_site6,62
Ethambutol_site6,63
Tetracycline_site4,64
Acetyl-isoniazid _site6,65
Desethylene ciprofloxacin_site6,66
Azithromycin_site2,67
25-O-desacetyl rifabutin _site4,68
Isoniazid_site6,69
Capreomycin IB_site6,70
Gentamycin C1_site2,71
Bedaquiline_site2,72
Sulfamethoxazole_site4,73
Penicillin V_site2,74
Meropenem_site6,75
Penicillin G_site2,76
25-O-desacetyl rifabutin _site6,77
Ampicillin_site4,78
Meropenem_site4,79
Ciprofloxacin_site4,80
Ketoconazole_site2,81
Linezolid_site2,82
Capreomycin IB_site4,83
N-desmethyl clarithromycin _site6,84
Imipenem_site2,85
Deacetyl-ketoconazole _site6,86
Isonicotinic acid_site4,87
Linezolid_site4,88
N-desmethyl azithromycin _site4,89
Florfenicol_site6,90
Norfloxacin_site4,91
Desethylene ciprofloxacin_site4,92
Doxycycline _site6,93
